scenario,window,start,end,days,total_return,cagr,vol,sharpe,maxdd,calmar
proposal_A10_B15_C10_D20_E40_cash5,full_common,2011-12-09,2026-05-08,3743,103.00465296144738,0.36709734028865837,0.10313837297457094,3.0851758720785316,-0.09878888003957642,3.7159783585115376
proposal_A10_B15_C10_D20_E40_cash5,10Y,2016-05-09,2026-05-08,2597,21.85244722838642,0.35476538270831304,0.1053417258778835,2.936707295604983,-0.07872663968951665,4.506293982665109
proposal_A10_B15_C10_D20_E40_cash5,5Y,2021-05-10,2026-05-08,1300,4.867627971202801,0.40917040478778977,0.11746447098835722,2.980735301160777,-0.07872663968951654,5.197356401867054
proposal_A10_B15_C10_D20_E40_cash5,3Y,2023-05-08,2026-05-08,781,2.8489689266984475,0.54478886162335,0.12078623489278363,3.663907284138357,-0.07872663968951621,6.920006541266081
proposal_A10_B15_C10_D20_E40_cash5,1Y,2025-05-08,2026-05-08,260,0.46244305402080643,0.4454384773078841,0.11975486013052218,3.1385656295481295,-0.07872663968951621,5.658040011165392
proposal_A10_B15_C10_D20_E40_normalized,full_common,2011-12-09,2026-05-08,3743,131.20485605626868,0.3893587888744432,0.1085667083942852,3.0851758720785316,-0.10376029034763101,3.7524836097698215
proposal_A10_B15_C10_D20_E40_normalized,10Y,2016-05-09,2026-05-08,2597,25.855722226957056,0.3761527653899055,0.11088602723987735,2.936707295604983,-0.08275211418603057,4.545536619696468
proposal_A10_B15_C10_D20_E40_normalized,5Y,2021-05-10,2026-05-08,1300,5.4272404024230525,0.4342750713318091,0.1236468115666918,2.9807353011607765,-0.08275211418603068,5.247903036719257
proposal_A10_B15_C10_D20_E40_normalized,3Y,2023-05-08,2026-05-08,781,3.126502964753141,0.5798859694033405,0.12714340515029854,3.6639072841383573,-0.08275211418603012,7.00750639554336
proposal_A10_B15_C10_D20_E40_normalized,1Y,2025-05-08,2026-05-08,260,0.49136036116495285,0.4731317602224727,0.1260577475058128,3.13856562954813,-0.08275211418603023,5.717458277366215
baseline_A10_ADK15_B60_E15,full_common,2011-12-09,2026-05-08,3743,44.26698106296403,0.2926370765820465,0.09524443525576369,2.7439749009242114,-0.07511682925505736,3.89575917253382
baseline_A10_ADK15_B60_E15,10Y,2016-05-09,2026-05-08,2597,18.942374062301216,0.3369768886097546,0.10243075575318404,2.888004282967577,-0.0751168292550577,4.486037176377032
baseline_A10_ADK15_B60_E15,5Y,2021-05-10,2026-05-08,1300,3.3372367005661783,0.32898877646664215,0.10724535991502383,2.707100292322248,-0.0751168292550577,4.37969466668471
baseline_A10_ADK15_B60_E15,3Y,2023-05-08,2026-05-08,781,1.9673872470225335,0.42042335342246706,0.11610476219354152,3.082823831316038,-0.07511682925505747,5.59692624930865
baseline_A10_ADK15_B60_E15,1Y,2025-05-08,2026-05-08,260,0.5452372993972256,0.5246843633290215,0.12079417667819045,3.5550819672898823,-0.07511682925505758,6.984910951811703
