date,market_case,nav,return,gross_return,base_gross_return,position_before,fraction_before,position,holding_fraction,weight,turnover,cost,trade_count,stop_count,buffer_blocked,buffer_blocked_count,best_candidate,best_score,current_score,max_lev,score_159941.SZ,raw_score_159941.SZ,r2_159941.SZ,score_518880.SH,raw_score_518880.SH,r2_518880.SH,target_vol_input_return,target_vol_input_nav,base_return,base_nav,base_turnover,base_cost,realized_vol,target_vol_scale_effective,target_vol_scale_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,effective_trade_count,target_vol,vol_window,switch_buffer,r2_threshold,case,score_QQQ,raw_score_QQQ,r2_QQQ,score_GLD,raw_score_GLD,r2_GLD
2015-07-13,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-14,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-15,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-16,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-17,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-20,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-21,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-22,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-23,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-24,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-27,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-28,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-29,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-30,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-07-31,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-03,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-04,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-05,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-06,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-07,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-10,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-11,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-12,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-13,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-14,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,0.10221469685857265,0.05459512124726751,,0.41382255488326414,0.11263656405826117,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-17,CN_159941_518880,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.5,0.0,0.0,0,0,False,0,CASH,,,1.5,,0.0781568312103369,0.03816675727714347,,0.6780488457770126,0.23890293307831456,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-18,CN_159941_518880,0.9985,-0.0014999999999999458,0.0,0.0,CASH,0.0,518880.SH,1.0,1.5,1.5,0.0015,1,0,False,0,518880.SH,0.9288973654211219,,1.5,,0.08581188239888804,0.05043579951463606,0.9288973654211219,0.9288973654211219,0.37070304066820103,-0.0010000000000000009,0.999,-0.0010000000000000009,0.999,1.0,0.001,0.003459768778401242,1.5,1.5,1.0,1.0,1.0,0.0,1.5,1.5,1,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-19,CN_159941_518880,1.003705039096438,0.005212858384013863,0.005212858384013974,0.0034752389226759828,518880.SH,1.0,518880.SH,1.0,1.5,0.0,0.0,1,0,False,0,518880.SH,1.1749819213416375,1.1749819213416375,1.5,,0.08155635962864394,0.05191249097856798,1.1749819213416375,1.1749819213416375,0.4970830494259353,0.0034752389226759828,1.0024717636837532,0.0034752389226759828,1.0024717636837532,0.0,0.0,0.012685184638453901,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-20,CN_159941_518880,1.0271682737766146,0.023376623376623495,0.023376623376623384,0.01558441558441559,518880.SH,1.0,518880.SH,1.0,1.5,0.0,0.0,1,0,False,0,518880.SH,1.5277563446888176,1.5277563446888176,1.5,,0.0569921527598618,0.02872519930790962,1.5277563446888176,1.5277563446888176,0.6215776031208067,0.01558441558441559,1.0180947002606429,0.01558441558441559,1.0180947002606429,0.0,0.0,0.05495007831440455,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-21,CN_159941_518880,1.0560655909416854,0.028132992327365658,0.028132992327365658,0.018755328218243772,518880.SH,1.0,518880.SH,1.0,1.5,0.0,0.0,1,0,False,0,518880.SH,2.0406058639575684,2.0406058639575684,1.5,,-0.14509851643921634,0.06071065156078215,2.0406058639575684,2.0406058639575684,0.7159084360776893,0.018755328218243772,1.0371894005212858,0.018755328218243772,1.0371894005212858,0.0,0.0,0.08248227502522566,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
2015-08-24,CN_159941_518880,1.0501003668924331,-0.005648535564853674,-0.005648535564853729,-0.003765690376569153,518880.SH,1.0,518880.SH,1.0,1.5,0.0,0.0,1,0,False,0,518880.SH,2.397239786715635,2.397239786715635,1.5,,-0.5156963441067776,0.1938244183246226,2.397239786715635,2.397239786715635,0.7811371705348609,-0.003765690376569153,1.0332836663770633,-0.003765690376569153,1.0332836663770633,0.0,0.0,0.08454433150559175,1.5,1.5,1.0,1.0,1.0,1.5,1.5,1.5,1,0.25,20,2.5,0.3,CN_159941_518880,,,,,,
