date,entry_case,nav,return,gross_return,base_gross_return,position_before,fraction_before,position,holding_fraction,weight,turnover,cost,trade_count,stop_count,pending_entry_target,pending_entry_days,staged_initial,fill_on_down_day,staged_initial_count,staged_fill_count,buffer_blocked,buffer_blocked_count,best_candidate,best_score,current_score,score_QQQ,score_GLD,r2_QQQ,r2_GLD,max_lev,target_vol_input_return,target_vol_input_nav,base_return,base_nav,base_turnover,base_cost,realized_vol,target_vol_scale_effective,target_vol_scale_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,effective_trade_count,target_vol,vol_window
2010-01-04,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-05,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-06,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-07,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-08,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-11,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-12,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-13,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-14,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-15,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-19,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-20,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-21,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-22,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-25,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
2010-01-26,full_entry,1.0,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.0,0.0,0.0,0,0,,0,False,False,0,0,False,0,CASH,,,,,,,1.5,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.25,20
