candidate,r2_threshold,position,days,share
no_r2,,QQQ,1601,0.5868768328445748
no_r2,,GLD,1127,0.41312316715542524
r2_ge_0.00,0.0,QQQ,1601,0.5868768328445748
r2_ge_0.00,0.0,GLD,1127,0.41312316715542524
r2_ge_0.05,0.05,QQQ,1571,0.5758797653958945
r2_ge_0.05,0.05,GLD,1102,0.4039589442815249
r2_ge_0.05,0.05,CASH,55,0.020161290322580645
r2_ge_0.10,0.1,QQQ,1523,0.5582844574780058
r2_ge_0.10,0.1,GLD,1096,0.40175953079178883
r2_ge_0.10,0.1,CASH,109,0.03995601173020528
r2_ge_0.15,0.15,QQQ,1484,0.5439882697947214
r2_ge_0.15,0.15,GLD,1077,0.3947947214076246
r2_ge_0.15,0.15,CASH,167,0.06121700879765396
r2_ge_0.20,0.2,QQQ,1455,0.533357771260997
r2_ge_0.20,0.2,GLD,1046,0.38343108504398826
r2_ge_0.20,0.2,CASH,227,0.08321114369501466
r2_ge_0.25,0.25,QQQ,1407,0.5157624633431085
r2_ge_0.25,0.25,GLD,1017,0.37280058651026393
r2_ge_0.25,0.25,CASH,304,0.11143695014662756
r2_ge_0.30,0.3,QQQ,1356,0.4970674486803519
r2_ge_0.30,0.3,GLD,990,0.3629032258064516
r2_ge_0.30,0.3,CASH,382,0.14002932551319647
r2_ge_0.35,0.35,QQQ,1307,0.47910557184750735
r2_ge_0.35,0.35,GLD,953,0.3493401759530792
r2_ge_0.35,0.35,CASH,468,0.17155425219941348
r2_ge_0.40,0.4,QQQ,1262,0.4626099706744868
r2_ge_0.40,0.4,GLD,909,0.33321114369501464
r2_ge_0.40,0.4,CASH,557,0.20417888563049855
r2_ge_0.45,0.45,QQQ,1185,0.4343841642228739
r2_ge_0.45,0.45,GLD,873,0.32001466275659823
r2_ge_0.45,0.45,CASH,670,0.24560117302052786
r2_ge_0.50,0.5,QQQ,1112,0.40762463343108507
r2_ge_0.50,0.5,GLD,833,0.3053519061583578
r2_ge_0.50,0.5,CASH,783,0.2870234604105572
r2_ge_0.55,0.55,QQQ,1029,0.37719941348973607
r2_ge_0.55,0.55,CASH,895,0.3280791788856305
r2_ge_0.55,0.55,GLD,804,0.29472140762463345
r2_ge_0.60,0.6,CASH,1035,0.37939882697947214
r2_ge_0.60,0.6,QQQ,957,0.35080645161290325
r2_ge_0.60,0.6,GLD,736,0.2697947214076246
r2_ge_0.65,0.65,CASH,1214,0.44501466275659823
r2_ge_0.65,0.65,QQQ,837,0.3068181818181818
r2_ge_0.65,0.65,GLD,677,0.24816715542521994
r2_ge_0.70,0.7,CASH,1459,0.5348240469208211
r2_ge_0.70,0.7,QQQ,701,0.2569648093841642
r2_ge_0.70,0.7,GLD,568,0.20821114369501467
r2_ge_0.75,0.75,CASH,1714,0.6282991202346041
r2_ge_0.75,0.75,QQQ,547,0.2005131964809384
r2_ge_0.75,0.75,GLD,467,0.17118768328445746
r2_ge_0.80,0.8,CASH,2002,0.7338709677419355
r2_ge_0.80,0.8,QQQ,397,0.14552785923753667
r2_ge_0.80,0.8,GLD,329,0.12060117302052786
r2_ge_0.85,0.85,CASH,2261,0.8288123167155426
r2_ge_0.85,0.85,QQQ,250,0.09164222873900293
r2_ge_0.85,0.85,GLD,217,0.07954545454545454
r2_ge_0.90,0.9,CASH,2502,0.9171554252199413
r2_ge_0.90,0.9,QQQ,132,0.04838709677419355
r2_ge_0.90,0.9,GLD,94,0.0344574780058651
r2_ge_0.95,0.95,CASH,2709,0.9930351906158358
r2_ge_0.95,0.95,QQQ,18,0.006598240469208211
r2_ge_0.95,0.95,GLD,1,0.00036656891495601173
