scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,half_position_days,staged_initials,staged_fills,overheat_days,overheat_triggers,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure,source,r2_threshold,target_vol,overheat_enter,overheat_exit
qveris_v11_oh_0.18_0.16_tv25_r2p20,from_2020,2020-01-02,2026-05-08,1535,15.018000151321054,0.5767389569990831,-0.16540663933670885,1.875741954906798,0.2609690987428547,359,192,152,30,17,364,0.4072382944791668,344.5,0.9440563971579964,1.5,qveris_cps3,0.2,0.25,0.18,0.16
qveris_v11_oh_0.18_0.16_tv25_r2p20,5Y,2021-05-10,2026-05-08,1211,9.193640934073173,0.6211595421069598,-0.16540663933670874,2.021341357718275,0.25507945663508114,253,140,115,27,12,271,0.3159745770316378,255.5,0.9774428218426457,1.5,qveris_cps3,0.2,0.25,0.18,0.16
qveris_v11_oh_0.18_0.16_tv25_r2p20,3Y,2023-05-08,2026-05-08,727,6.072389320200418,0.970085643638207,-0.16540663933670885,2.683789188948587,0.2658898152076323,170,90,72,11,10,168,0.19235138830707532,162.5,0.9177946489163136,1.5,qveris_cps3,0.2,0.25,0.18,0.16
qveris_v11_oh_0.18_0.16_tv25_r2p20,1Y,2025-05-08,2026-05-08,243,0.8111793811067027,0.851465371714305,-0.13338572226381606,2.6609075428682876,0.24272438194286317,67,36,26,7,3,65,0.07342297766500293,62.5,0.9203561910003043,1.5,qveris_cps3,0.2,0.25,0.18,0.16
qveris_v11_oh_0.20_0.18_tv25_r2p20,from_2020,2020-01-02,2026-05-08,1535,16.824881547014492,0.6046498183466706,-0.16540663933670907,1.9322335498650283,0.2626632369722181,359,192,152,17,10,364,0.4032382944791668,344.5,0.9531154461086166,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_oh_0.20_0.18_tv25_r2p20,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670907,2.119619516211932,0.25695586640155055,253,140,115,17,9,271,0.3159745770316378,255.5,0.9865985573137159,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_oh_0.20_0.18_tv25_r2p20,3Y,2023-05-08,2026-05-08,727,6.3844974612900405,0.9997977591583516,-0.16540663933670918,2.726325251448377,0.26739003860749977,170,90,72,7,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_oh_0.20_0.18_tv25_r2p20,1Y,2025-05-08,2026-05-08,243,0.8911076492243037,0.936265919002575,-0.1333857222638163,2.7940871271004735,0.2476445316438491,67,36,26,3,2,65,0.07242297766500293,62.5,0.9415409552476255,1.5,qveris_cps3,0.2,0.25,0.2,0.18
qveris_v11_oh_0.22_0.20_tv25_r2p20,from_2020,2020-01-02,2026-05-08,1535,15.913178422109095,0.5908783657423131,-0.18947883224276985,1.887340412307389,0.2646142709051839,359,192,152,7,6,364,0.3992382944791668,344.5,0.961095568143577,1.5,qveris_cps3,0.2,0.25,0.22,0.2
qveris_v11_oh_0.22_0.20_tv25_r2p20,5Y,2021-05-10,2026-05-08,1211,10.092901937067419,0.6499320078798003,-0.18947883224276996,2.05933462858416,0.259486472356771,253,140,115,7,5,271,0.3119745770316378,255.5,0.9967137409005564,1.5,qveris_cps3,0.2,0.25,0.22,0.2
qveris_v11_oh_0.22_0.20_tv25_r2p20,3Y,2023-05-08,2026-05-08,727,5.976818775112525,0.9608165668118833,-0.16540663933670907,2.6323449518371285,0.2696796548378278,170,90,72,6,4,168,0.18935138830707532,162.5,0.9267170417163904,1.5,qveris_cps3,0.2,0.25,0.22,0.2
qveris_v11_oh_0.22_0.20_tv25_r2p20,1Y,2025-05-08,2026-05-08,243,0.8911076492243006,0.936265919002572,-0.13338572226381618,2.7940871271004672,0.247644531643849,67,36,26,3,1,65,0.07242297766500293,62.5,0.9415409552476255,1.5,qveris_cps3,0.2,0.25,0.22,0.2
qveris_v11_oh_0.24_0.22_tv25_r2p20,from_2020,2020-01-02,2026-05-08,1535,14.59374979033039,0.56980589404738,-0.18947883224276996,1.8277286106786375,0.266168801542664,359,192,152,3,3,364,0.3952382944791668,344.5,0.964641449410236,1.5,qveris_cps3,0.2,0.25,0.24,0.22
qveris_v11_oh_0.24_0.22_tv25_r2p20,5Y,2021-05-10,2026-05-08,1211,9.227523942464854,0.622279402687484,-0.18947883224276996,1.9807724033911245,0.261502253516792,253,140,115,3,3,271,0.3079745770316378,255.5,1.0012083137695258,1.5,qveris_cps3,0.2,0.25,0.24,0.22
qveris_v11_oh_0.24_0.22_tv25_r2p20,3Y,2023-05-08,2026-05-08,727,5.632787417194779,0.9267461519770643,-0.16540663933670863,2.546140382941939,0.2721842492408505,170,90,72,3,3,168,0.18735138830707532,162.5,0.9324533869974231,1.5,qveris_cps3,0.2,0.25,0.24,0.22
qveris_v11_oh_0.24_0.22_tv25_r2p20,1Y,2025-05-08,2026-05-08,243,0.7978559318582015,0.837343061052849,-0.13338572226381584,2.5088320359363236,0.25568373366565345,67,36,26,0,0,65,0.07042297766500293,62.5,0.958702778372361,1.5,qveris_cps3,0.2,0.25,0.24,0.22
