scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,half_position_days,staged_initials,staged_fills,overheat_days,overheat_triggers,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure,source,r2_threshold,target_vol,overheat_enter,overheat_exit
qveris_v11_r2_0.10_tv_0.20_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,9.634389183639179,0.47419442305751747,-0.1418613099353212,1.91488739870591,0.21479405704234755,371,199,154,17,10,365,0.3324333894870004,353.5,0.7866897787718697,1.5,qveris_cps3,0.1,0.2,0.2,0.18
qveris_v11_r2_0.10_tv_0.20_oh_20_18,5Y,2021-05-10,2026-05-08,1211,6.462594789227745,0.5192939928818541,-0.1418613099353211,2.0843860579502866,0.21140815920057726,255,143,117,17,9,269,0.2607955263318513,260.5,0.8196125087262218,1.5,qveris_cps3,0.1,0.2,0.2,0.18
qveris_v11_r2_0.10_tv_0.20_oh_20_18,3Y,2023-05-08,2026-05-08,727,4.084785071319096,0.7571759954059554,-0.1418613099353212,2.6843477442568853,0.2190193329599864,168,93,73,7,7,169,0.15775278572030638,166.5,0.759338020825208,1.5,qveris_cps3,0.1,0.2,0.2,0.18
qveris_v11_r2_0.10_tv_0.20_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.6275008832167399,0.6571253181215917,-0.11740176745587727,2.618134370935007,0.20073296808326285,63,37,27,3,2,66,0.059564500493262576,64.5,0.772350970293443,1.2825646643054,qveris_cps3,0.1,0.2,0.2,0.18
qveris_v11_r2_0.10_tv_0.25_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,16.58267829469906,0.6010497930736096,-0.164222116874834,1.9219325505213074,0.2629407401022124,371,199,154,17,10,365,0.4071351319938018,353.5,0.960213015795999,1.5,qveris_cps3,0.1,0.25,0.2,0.18
qveris_v11_r2_0.10_tv_0.25_oh_20_18,5Y,2021-05-10,2026-05-08,1211,10.414425362153874,0.6597712674022405,-0.164222116874834,2.0992654081707225,0.25709413110936136,255,143,117,17,9,269,0.31758780304986545,260.5,0.9952138437028639,1.5,qveris_cps3,0.1,0.25,0.2,0.18
qveris_v11_r2_0.10_tv_0.25_oh_20_18,3Y,2023-05-08,2026-05-08,727,6.270603249899761,0.9890520680109784,-0.164222116874834,2.6984269940194583,0.26823794372689747,168,93,73,7,7,169,0.19357284833574862,166.5,0.9319404405092365,1.5,qveris_cps3,0.1,0.25,0.2,0.18
qveris_v11_r2_0.10_tv_0.25_oh_20_18,1Y,2025-05-08,2026-05-08,243,0.8160553746076442,0.8566346884847791,-0.14508167187602172,2.6054635984015335,0.24959762938008548,63,37,27,3,2,66,0.0739556256165782,64.5,0.9624997549993723,1.5,qveris_cps3,0.1,0.25,0.2,0.18
qveris_v11_r2_0.10_tv_0.30_oh_20_18,from_2020,2020-01-02,2026-05-08,1535,23.605204858914497,0.6918585063597116,-0.18110205298236737,1.9042327606914122,0.2997918020878053,371,199,154,17,10,365,0.4677800325164738,353.5,1.0920726192655255,1.5,qveris_cps3,0.1,0.3,0.2,0.18
qveris_v11_r2_0.10_tv_0.30_oh_20_18,5Y,2021-05-10,2026-05-08,1211,13.933988838670496,0.7552426590339629,-0.18110205298236737,2.0796644460005584,0.2907922227948913,255,143,117,17,9,269,0.361981248070656,260.5,1.1243157487959812,1.5,qveris_cps3,0.1,0.3,0.2,0.18
