date,mode,position_before,position,best_candidate,best_score,score_GLD,score_QQQ,gross_return,turnover,cost,return,nav,trade_count
2010-01-04,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-05,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-06,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-07,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-08,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-11,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-12,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-13,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-14,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-15,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-19,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-20,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-21,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-22,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-25,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-26,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-27,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-28,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-01-29,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-01,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-02,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-03,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-04,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-05,always_top1,CASH,CASH,CASH,,,,0.0,0.0,0.0,0.0,1.0,0
2010-02-08,always_top1,CASH,GLD,GLD,-0.5292274255145906,-0.5292274255145906,-0.6823694523333476,0.0,1.0,0.001,-0.0010000000000000009,0.999,1
2010-02-09,always_top1,GLD,GLD,GLD,-0.5251778060831847,-0.5251778060831847,-0.6667383856175184,0.01316803858637372,0.0,0.0,0.01316803858637372,1.0121548705477874,1
2010-02-10,always_top1,GLD,GLD,GLD,-0.5182970621397025,-0.5182970621397025,-0.6480855255069418,-0.002751170718643947,0.0,0.0,-0.002751170718643947,1.0093702597052034,1
2010-02-11,always_top1,GLD,GLD,GLD,-0.46004366032819677,-0.46004366032819677,-0.5981295922586598,0.019120951810489784,0.0,0.0,0.019120951810489784,1.0286703797999681,1
2010-02-12,always_top1,GLD,GLD,GLD,-0.39877060431609124,-0.39877060431609124,-0.5358771760178358,-0.0008400666498453724,0.0,0.0,-0.0008400666498453724,1.0278062281202145,1
2010-02-16,always_top1,GLD,GLD,GLD,-0.25954147195871624,-0.25954147195871624,-0.43472259993397533,0.02410315591356116,0.0,0.0,0.02410315591356116,1.0525796018855251,1
2010-02-17,always_top1,GLD,GLD,GLD,-0.12048051831981699,-0.12048051831981699,-0.30574746717503576,-0.0033753214496573536,0.0,0.0,-0.0033753214496573536,1.049026807377809,1
2010-02-18,always_top1,GLD,GLD,GLD,0.048459533414783706,0.048459533414783706,-0.14162126170309686,0.006681952923877299,0.0,0.0,0.006681952923877299,1.056036355120593,1
2010-02-19,always_top1,GLD,GLD,GLD,0.19735590804824943,0.19735590804824943,0.03682095537277985,-0.004637226047132237,0.0,0.0,-0.004637226047132237,1.051139275827909,1
2010-02-22,always_top1,GLD,GLD,GLD,0.31467850598003455,0.31467850598003455,0.20874361161699828,-0.0036539830220012615,0.0,0.0,-0.0036539830220012615,1.047298430760275,1
2010-02-23,always_top1,GLD,GLD,GLD,0.3453837586629134,0.3453837586629134,0.2964347328716821,-0.010818743086801086,0.0,0.0,-0.010818743086801086,1.0359679781026696,1
2010-02-24,always_top1,GLD,QQQ,QQQ,0.43064245984838356,0.3303414134295908,0.43064245984838356,-0.004912399502225995,2.0,0.002,-0.006902574703221531,1.0288171317436705,2
2010-02-25,always_top1,QQQ,QQQ,QQQ,0.5305778579825486,0.34843851700929696,0.5305778579825486,-0.00022433146121159098,0.0,0.0,-0.00022433146121159098,1.028586335693187,2
2010-02-26,always_top1,QQQ,QQQ,QQQ,0.6200793575258952,0.4119126546801051,0.6200793575258952,0.003587448100007551,0.0,0.0,0.003587448100007551,1.0322763357888634,2
2010-03-01,always_top1,QQQ,QQQ,QQQ,0.7775129757815931,0.45848947899385184,0.7775129757815931,0.014521684237688959,0.0,0.0,0.014521684237688959,1.0472667267832279,2
2010-03-02,always_top1,QQQ,QQQ,QQQ,0.9268596577163073,0.5840682644811559,0.9268596577163073,0.0030831828326645105,0.0,0.0,0.0030831828326645105,1.0504956415764666,2
2010-03-03,always_top1,QQQ,QQQ,QQQ,1.0416027221232116,0.7229391732690369,1.0416027221232116,0.0010976418839148128,0.0,0.0,0.0010976418839148128,1.0516487095915308,2
2010-03-04,always_top1,QQQ,QQQ,QQQ,1.1345399209977525,0.7722534904337821,1.1345399209977525,0.0032897006885124203,0.0,0.0,0.0032897006885124203,1.0551083190755473,2
2010-03-05,always_top1,QQQ,QQQ,QQQ,1.3063370260544915,0.7952588754093419,1.3063370260544915,0.01508183259516449,0.0,0.0,0.01508183259516449,1.0710212861136101,2
2010-03-08,always_top1,QQQ,QQQ,QQQ,1.436608867550019,0.7318778933721963,1.436608867550019,0.00193772057246,0.0,0.0,0.00193772057246,1.073096626093255,2
2010-03-09,always_top1,QQQ,QQQ,QQQ,1.578009199543711,0.6551241545018587,1.578009199543711,0.005588450152233637,0.0,0.0,0.005588450152233637,1.0790935730967073,2
2010-03-10,always_top1,QQQ,QQQ,QQQ,1.749061320735573,0.4918237934082712,1.749061320735573,0.008120941795173753,0.0,0.0,0.008120941795173753,1.0878568291953716,2
2010-03-11,always_top1,QQQ,QQQ,QQQ,1.8841294847799932,0.3468265626007607,1.8841294847799932,0.0038158379730757197,0.0,0.0,0.0038158379730757197,1.0920079145934851,2
2010-03-12,always_top1,QQQ,QQQ,QQQ,1.9270719498259368,0.18122884500125336,1.9270719498259368,0.00021135016275919405,0.0,0.0,0.00021135016275919405,1.0922387106439688,2
2010-03-15,always_top1,QQQ,QQQ,QQQ,1.8813682070148143,0.07085732716740667,1.8813682070148143,-0.0025339028404860464,0.0,0.0,-0.0025339028404860464,1.0894710838725792,2
2010-03-16,always_top1,QQQ,QQQ,QQQ,1.86692166046755,0.06733774501280743,1.86692166046755,0.006350244804840033,0.0,0.0,0.006350244804840033,1.0963894919629644,2
2010-03-17,always_top1,QQQ,QQQ,QQQ,1.8460616509963321,0.036266740527149066,1.8460616509963321,0.002735277601971342,0.0,0.0,0.002735277601971342,1.0993884215833674,2
2010-03-18,always_top1,QQQ,QQQ,QQQ,1.8230533561571423,0.0444524302929965,1.8230533561571423,0.0033561350511990273,0.0,0.0,0.0033561350511990273,1.1030781175999256,2
2010-03-19,always_top1,QQQ,QQQ,QQQ,1.6943401816612744,-0.023468727914590648,1.6943401816612744,-0.006048347636781526,0.0,0.0,-0.006048347636781526,1.0964063176741548,2
2010-03-22,always_top1,QQQ,QQQ,QQQ,1.6480739557433663,-0.09364039366859989,1.6480739557433663,0.009054187377923517,0.0,0.0,0.009054187377923517,1.1063333859167157,2
2010-03-23,always_top1,QQQ,QQQ,QQQ,1.6465078052367543,-0.12382296736753717,1.6465078052367543,0.006886535067631705,0.0,0.0,0.006886535067631705,1.1139521895753228,2
2010-03-24,always_top1,QQQ,QQQ,QQQ,1.543476381534465,-0.21475201215868056,1.543476381534465,-0.004766385422356412,0.0,0.0,-0.004766385422356412,1.108642664097729,2
2010-03-25,always_top1,QQQ,QQQ,QQQ,1.3960402288273541,-0.2685715995523581,1.3960402288273541,-0.001458349675882653,0.0,0.0,-0.001458349675882653,1.1070258754278723,2
2010-03-26,always_top1,QQQ,QQQ,QQQ,1.2405278955473538,-0.2584814748672797,1.2405278955473538,0.001043147369630626,0.0,0.0,0.001043147369630626,1.108180666557938,2
2010-03-29,always_top1,QQQ,QQQ,QQQ,1.1184653129031634,-0.24253068304754788,1.1184653129031634,0.0047912092656203775,0.0,0.0,0.0047912092656203775,1.1134901920355316,2
