mode,window,code,days,share
always_top1,15Y,QQQ,2254,0.5962962962962963
always_top1,15Y,GLD,1526,0.40370370370370373
always_top1,10Y,QQQ,1493,0.5924603174603175
always_top1,10Y,GLD,1027,0.40753968253968254
always_top1,from_2020,QQQ,887,0.5540287320424735
always_top1,from_2020,GLD,714,0.44597126795752656
always_top1,5Y,QQQ,645,0.5119047619047619
always_top1,5Y,GLD,615,0.4880952380952381
always_top1,3Y,QQQ,390,0.5158730158730159
always_top1,3Y,GLD,366,0.48412698412698413
always_top1,1Y,GLD,130,0.5158730158730159
always_top1,1Y,QQQ,122,0.48412698412698413
positive_top1_else_cash,15Y,QQQ,2001,0.5293650793650794
positive_top1_else_cash,15Y,GLD,1194,0.31587301587301586
positive_top1_else_cash,15Y,CASH,585,0.15476190476190477
positive_top1_else_cash,10Y,QQQ,1367,0.5424603174603174
positive_top1_else_cash,10Y,GLD,809,0.32103174603174606
positive_top1_else_cash,10Y,CASH,344,0.1365079365079365
positive_top1_else_cash,from_2020,QQQ,819,0.5115552779512804
positive_top1_else_cash,from_2020,GLD,539,0.33666458463460336
positive_top1_else_cash,from_2020,CASH,243,0.15178013741411617
positive_top1_else_cash,5Y,QQQ,590,0.46825396825396826
positive_top1_else_cash,5Y,GLD,477,0.37857142857142856
positive_top1_else_cash,5Y,CASH,193,0.15317460317460319
positive_top1_else_cash,3Y,QQQ,363,0.4801587301587302
positive_top1_else_cash,3Y,GLD,330,0.4365079365079365
positive_top1_else_cash,3Y,CASH,63,0.08333333333333333
positive_top1_else_cash,1Y,GLD,128,0.5079365079365079
positive_top1_else_cash,1Y,QQQ,106,0.42063492063492064
positive_top1_else_cash,1Y,CASH,18,0.07142857142857142
