code,name,source,adjustment,first_available,first_used,last,rows,pool_rule,proxy_switch_date,proxy_input_eem_first,proxy_input_eem_last,proxy_input_emxc_first,proxy_input_emxc_last,proxy_scale_factor,last_aligned,ffill_days_on_cn_calendar,mode
QQQ,NASDAQ_QQQ_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-11-02,2007-01-03,2016-12-30,2558,core asset available from 2007 start,,,,,,,2016-12-30,80,insample_2007_2016_emxc_proxy_pool
GLD,GOLD_GLD_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-11-02,2007-01-03,2016-12-30,2558,core asset available from 2007 start,,,,,,,2016-12-30,80,insample_2007_2016_emxc_proxy_pool
EMXC,EM_EX_CHINA_EMXC_SPLICED_EEM_PROXY,Yahoo Finance chart API; EEM spliced to scaled EMXC,adjusted close; EMXC scaled to EEM at switch,2006-11-02,2007-01-03,2016-12-30,2558,EEM proxy before 2017-08-01; scaled EMXC after switch,2017-08-01,2006-11-02,2016-12-30,,,,2016-12-30,80,insample_2007_2016_emxc_proxy_pool
CN_CYB_399006,CHINEXT_INDEX_PROXY_DYNAMIC_ADD,Eastmoney push2his kline secid=0.399006,index close / price index,2010-06-01,2010-06-01,2016-12-30,1601,dynamic asset; no prices before 2010-06-01 and no backfill,,,,,,,2016-12-30,0,insample_2007_2016_emxc_proxy_pool
QQQ,NASDAQ_QQQ_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2016-11-02,2017-01-03,2026-06-30,2426,core asset available from 2007 start,,,,,,,2026-06-30,78,oos_2017_2026_standalone_reset_emxc_proxy_pool
GLD,GOLD_GLD_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2016-11-02,2017-01-03,2026-06-30,2426,core asset available from 2007 start,,,,,,,2026-06-30,78,oos_2017_2026_standalone_reset_emxc_proxy_pool
EMXC,EM_EX_CHINA_EMXC_SPLICED_EEM_PROXY,Yahoo Finance chart API; EEM spliced to scaled EMXC,adjusted close; EMXC scaled to EEM at switch,2016-11-02,2017-01-03,2026-06-30,2426,EEM proxy before 2017-08-01; scaled EMXC after switch,2017-08-01,2016-11-02,2026-06-30,2017-07-26,2026-06-30,0.8753205049101943,2026-06-30,78,oos_2017_2026_standalone_reset_emxc_proxy_pool
CN_CYB_399006,CHINEXT_INDEX_PROXY_DYNAMIC_ADD,Eastmoney push2his kline secid=0.399006,index close / price index,2010-06-01,2010-06-01,2026-06-30,3903,dynamic asset; no prices before 2010-06-01 and no backfill,,,,,,,2026-06-30,0,oos_2017_2026_standalone_reset_emxc_proxy_pool
QQQ,NASDAQ_QQQ_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-11-02,2007-01-03,2026-06-30,4943,core asset available from 2007 start,,,,,,,2026-06-30,158,oos_2017_2026_continuous_state_from_2007_emxc_proxy_pool
GLD,GOLD_GLD_ADJ_CLOSE_PROXY,Yahoo Finance chart API,adjusted close,2006-11-02,2007-01-03,2026-06-30,4943,core asset available from 2007 start,,,,,,,2026-06-30,158,oos_2017_2026_continuous_state_from_2007_emxc_proxy_pool
EMXC,EM_EX_CHINA_EMXC_SPLICED_EEM_PROXY,Yahoo Finance chart API; EEM spliced to scaled EMXC,adjusted close; EMXC scaled to EEM at switch,2006-11-02,2007-01-03,2026-06-30,4943,EEM proxy before 2017-08-01; scaled EMXC after switch,2017-08-01,2006-11-02,2026-06-30,2017-07-26,2026-06-30,0.8753206096547418,2026-06-30,158,oos_2017_2026_continuous_state_from_2007_emxc_proxy_pool
CN_CYB_399006,CHINEXT_INDEX_PROXY_DYNAMIC_ADD,Eastmoney push2his kline secid=0.399006,index close / price index,2010-06-01,2010-06-01,2026-06-30,3903,dynamic asset; no prices before 2010-06-01 and no backfill,,,,,,,2026-06-30,0,oos_2017_2026_continuous_state_from_2007_emxc_proxy_pool
