scenario,window,code,days,share
base6,from_2020,159941.SZ,331,0.21563517915309446
base6,from_2020,159985.SZ,292,0.19022801302931597
base6,from_2020,159915.SZ,275,0.1791530944625407
base6,from_2020,518880.SH,193,0.1257328990228013
base6,from_2020,513520.SH,175,0.11400651465798045
base6,from_2020,513030.SH,162,0.10553745928338762
base6,from_2020,CASH,107,0.06970684039087947
base6_plus_511130_30y_bond,from_2020,159941.SZ,328,0.21368078175895766
base6_plus_511130_30y_bond,from_2020,159985.SZ,290,0.18892508143322476
base6_plus_511130_30y_bond,from_2020,159915.SZ,275,0.1791530944625407
base6_plus_511130_30y_bond,from_2020,518880.SH,192,0.1250814332247557
base6_plus_511130_30y_bond,from_2020,513520.SH,174,0.11335504885993486
base6_plus_511130_30y_bond,from_2020,513030.SH,162,0.10553745928338762
base6_plus_511130_30y_bond,from_2020,CASH,86,0.056026058631921824
base6_plus_511130_30y_bond,from_2020,511130.SH,28,0.018241042345276872
base6_plus_511090_30y_bond,from_2020,159941.SZ,328,0.21368078175895766
base6_plus_511090_30y_bond,from_2020,159985.SZ,289,0.18827361563517916
base6_plus_511090_30y_bond,from_2020,159915.SZ,275,0.1791530944625407
base6_plus_511090_30y_bond,from_2020,518880.SH,192,0.1250814332247557
base6_plus_511090_30y_bond,from_2020,513520.SH,173,0.11270358306188925
base6_plus_511090_30y_bond,from_2020,513030.SH,162,0.10553745928338762
base6_plus_511090_30y_bond,from_2020,CASH,88,0.05732899022801303
base6_plus_511090_30y_bond,from_2020,511090.SH,28,0.018241042345276872
base6_plus_csi1000,from_2020,159941.SZ,301,0.19609120521172638
base6_plus_csi1000,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_csi1000,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_csi1000,from_2020,512100.SH,173,0.11270358306188925
base6_plus_csi1000,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000,from_2020,513520.SH,164,0.10684039087947883
base6_plus_csi1000,from_2020,513030.SH,142,0.09250814332247558
base6_plus_csi1000,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_511130_30y_bond,from_2020,159941.SZ,298,0.19413680781758957
base6_plus_csi1000_511130_30y_bond,from_2020,159985.SZ,278,0.18110749185667752
base6_plus_csi1000_511130_30y_bond,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_csi1000_511130_30y_bond,from_2020,512100.SH,173,0.11270358306188925
base6_plus_csi1000_511130_30y_bond,from_2020,518880.SH,172,0.11205211726384365
base6_plus_csi1000_511130_30y_bond,from_2020,513520.SH,163,0.10618892508143322
base6_plus_csi1000_511130_30y_bond,from_2020,513030.SH,142,0.09250814332247558
base6_plus_csi1000_511130_30y_bond,from_2020,CASH,75,0.048859934853420196
base6_plus_csi1000_511130_30y_bond,from_2020,511130.SH,28,0.018241042345276872
base6_plus_csi1000_511090_30y_bond,from_2020,159941.SZ,298,0.19413680781758957
base6_plus_csi1000_511090_30y_bond,from_2020,159985.SZ,277,0.18045602605863192
base6_plus_csi1000_511090_30y_bond,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_csi1000_511090_30y_bond,from_2020,512100.SH,173,0.11270358306188925
base6_plus_csi1000_511090_30y_bond,from_2020,518880.SH,172,0.11205211726384365
base6_plus_csi1000_511090_30y_bond,from_2020,513520.SH,162,0.10553745928338762
base6_plus_csi1000_511090_30y_bond,from_2020,513030.SH,142,0.09250814332247558
base6_plus_csi1000_511090_30y_bond,from_2020,CASH,77,0.0501628664495114
base6_plus_csi1000_511090_30y_bond,from_2020,511090.SH,28,0.018241042345276872
