window,code,days,share
15Y,QQQ,1162,0.3074074074074074
15Y,GLD,785,0.20767195767195767
15Y,CASH,681,0.18015873015873016
15Y,DBC,611,0.16164021164021164
15Y,EWJ,541,0.14312169312169312
10Y,QQQ,839,0.3329365079365079
10Y,GLD,515,0.20436507936507936
10Y,DBC,496,0.19682539682539682
10Y,CASH,366,0.14523809523809525
10Y,EWJ,304,0.12063492063492064
from_2020,QQQ,510,0.3185509056839475
from_2020,GLD,335,0.20924422236102436
from_2020,DBC,314,0.19612742036227357
from_2020,CASH,239,0.14928169893816365
from_2020,EWJ,203,0.1267957526545909
5Y,QQQ,379,0.3007936507936508
5Y,GLD,289,0.22936507936507936
5Y,DBC,235,0.1865079365079365
5Y,CASH,200,0.15873015873015872
5Y,EWJ,157,0.1246031746031746
3Y,QQQ,238,0.3148148148148148
3Y,GLD,224,0.2962962962962963
3Y,EWJ,109,0.14417989417989419
3Y,DBC,99,0.13095238095238096
3Y,CASH,86,0.11375661375661375
1Y,GLD,82,0.3253968253968254
1Y,QQQ,66,0.2619047619047619
1Y,EWJ,48,0.19047619047619047
1Y,DBC,41,0.1626984126984127
1Y,CASH,15,0.05952380952380952
