version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,variant
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,7.2986731269503995,0.15150875401424857,-0.2824690419734506,0.8481344714740502,0.1870105796076564,1127,350,350,174,163,0,0,0,704,0.5004837802122069,500.4837802122069,1.4758662783930792,0.9700753930713891,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,5.319453686605199,0.20245256621288976,-0.2776004491821006,1.0409305057931089,0.19557674585397083,685,230,230,117,108,0,0,0,524,0.33377072741427527,333.77072741427526,1.471210302695434,1.0071560914275839,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.5178990466159235,0.2679089638290577,-0.2713988899212235,1.202934233346049,0.21703612107716874,446,148,148,77,71,0,0,0,425,0.21827072741427522,218.27072741427523,1.4546845489022446,0.986591724170838,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.611937920822377,0.29284974907952965,-0.2713988899212235,1.3275477773582902,0.21019096383207977,364,115,115,58,55,0,0,0,262,0.16856066178507106,168.56066178507103,1.4805536503284753,0.9894113504622456,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,2.160330076800511,0.4674978763662285,-0.19039845670307565,1.9133728466333162,0.21239892685651046,165,75,75,36,37,0,0,0,172,0.10784543340242361,107.84543340242362,1.4775307130631228,1.087417683398814,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.9342974677564084,0.9342974677564084,-0.10221328277659014,3.134020149670115,0.21839183078283964,63,32,32,14,14,0,0,0,114,0.04099744436179985,40.99744436179985,1.4337037544799696,0.9984837131060909,1.5,v1_1_original_positive_score
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,16.71880555921596,0.21123653688553268,-0.3189208783414632,1.0073198644615002,0.2128095697009707,340,612,612,321,268,0,0,0,1401,0.8481893010266607,848.1893010266606,1.4292396906597653,1.1855263250566694,1.5,v1_1_allow_negative_stronger
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,9.316856391084245,0.26285863611587135,-0.3189208783414632,1.1792258417823362,0.21819506255710044,216,364,364,200,171,0,0,0,1038,0.5287100868052204,528.7100868052203,1.408906493534956,1.1878831228026103,1.5,v1_1_allow_negative_stronger
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,4.6351655241798495,0.31278598144704683,-0.3189208783414632,1.254226124969708,0.24011882836317774,136,236,236,130,113,0,0,0,890,0.33671008680522035,336.7100868052204,1.3566173414791312,1.1436386442614477,1.5,v1_1_allow_negative_stronger
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,3.4968320647274673,0.3507697736485602,-0.3189208783414632,1.4082640269380597,0.23287954417150375,103,187,187,100,88,0,0,0,663,0.265463609161723,265.46360916172307,1.393965075535314,1.1782399988874441,1.5,v1_1_allow_negative_stronger
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,2.7432969646200713,0.5526900169083038,-0.15684757239472802,1.9886675399105729,0.2353518274020894,56,101,101,55,52,0,0,0,355,0.1521726161600405,152.1726161600405,1.4132781723626455,1.2165412006764489,1.5,v1_1_allow_negative_stronger
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.9872400362099121,0.9872400362099121,-0.1146961814813161,3.140382322970492,0.22719641432142698,31,39,39,18,17,0,0,0,158,0.04683487655171878,46.83487655171878,1.3203792497781899,1.0573435755617648,1.5,v1_1_allow_negative_stronger
