scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
none,,,from_2020,2020-01-02,2026-05-08,1535,7.591233371192217,0.40339599177216545,-0.2029033869319654,0.25159646741923497,1.5489175696977748,261,95,84,0,0,0,1.051633577883826,0.84899832657662
none,,,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,81,0,0,0,1.0565005162633014,0.8535052373562014
none,,,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,53,0,0,0,0.9551514780017234,0.7480273114627556
none,,,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,28,0,0,0,0.9040044038215312,0.6939275384468456
decay_0.30_recover_0.60,0.3,0.6,from_2020,2020-01-02,2026-05-08,1535,3.4654165254650096,0.26590034905131854,-0.2144726489652543,0.22864392312029339,1.209752829324334,285,196,62,101,23,23,1.1079209797191163,0.8445792079447741
decay_0.30_recover_0.60,0.3,0.6,6Y,2020-05-08,2026-05-08,1454,3.1608701551102723,0.26829684130314435,-0.2144726489652543,0.2215069778234716,1.226078204649292,268,187,59,99,22,22,1.114981934893438,0.8492573271295278
decay_0.30_recover_0.60,0.3,0.6,3Y,2023-05-08,2026-05-08,727,1.401739625775639,0.33910009716583156,-0.2144726489652543,0.2090891811422508,1.578799238264096,127,113,42,68,12,12,1.0382780358132886,0.742159296971699
decay_0.30_recover_0.60,0.3,0.6,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,39,35,24,24,5,5,1.0308641975308641,0.7129629629629629
decay_0.30_recover_0.70,0.3,0.7,from_2020,2020-01-02,2026-05-08,1535,3.465397975646849,0.26589952043257314,-0.21447264896525453,0.22864393026562443,1.209749812688935,285,197,62,102,23,23,1.1079211432164595,0.8437331177148393
decay_0.30_recover_0.70,0.3,0.7,6Y,2020-05-08,2026-05-08,1454,3.1608528704103334,0.2682959629944317,-0.21447264896525464,0.22150698554526937,1.2260749158080162,268,188,59,100,22,22,1.114982107498955,0.8483641025745415
decay_0.30_recover_0.70,0.3,0.7,3Y,2023-05-08,2026-05-08,727,1.4017296486921906,0.3390982433311842,-0.21447264896525464,0.20908919910033716,1.5787922248946948,127,114,42,69,12,12,1.0382783810243221,0.7403728478617262
decay_0.30_recover_0.70,0.3,0.7,1Y,2025-05-08,2026-05-08,243,-0.006979034965020836,-0.006983798395135299,-0.006979034965020836,0.0026552108758064346,-2.733967130597302,39,35,24,24,5,5,1.0308641975308641,0.7129629629629629
