scenario,window,code,days,share
base6,from_2020,159941.SZ,331,0.21563517915309446
base6,from_2020,159985.SZ,292,0.19022801302931597
base6,from_2020,159915.SZ,275,0.1791530944625407
base6,from_2020,518880.SH,193,0.1257328990228013
base6,from_2020,513520.SH,175,0.11400651465798045
base6,from_2020,513030.SH,162,0.10553745928338762
base6,from_2020,CASH,107,0.06970684039087947
base6_plus_中证1000ETF,from_2020,159941.SZ,301,0.19609120521172638
base6_plus_中证1000ETF,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_中证1000ETF,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_中证1000ETF,from_2020,512100.SH,173,0.11270358306188925
base6_plus_中证1000ETF,from_2020,518880.SH,173,0.11270358306188925
base6_plus_中证1000ETF,from_2020,513520.SH,164,0.10684039087947883
base6_plus_中证1000ETF,from_2020,513030.SH,142,0.09250814332247558
base6_plus_中证1000ETF,from_2020,CASH,96,0.06254071661237785
base6_plus_红利低波100ETF,from_2020,159941.SZ,312,0.20325732899022803
base6_plus_红利低波100ETF,from_2020,159915.SZ,275,0.1791530944625407
base6_plus_红利低波100ETF,from_2020,159985.SZ,259,0.16872964169381108
base6_plus_红利低波100ETF,from_2020,518880.SH,179,0.11661237785016286
base6_plus_红利低波100ETF,from_2020,515100.SH,154,0.1003257328990228
base6_plus_红利低波100ETF,from_2020,513520.SH,148,0.09641693811074918
base6_plus_红利低波100ETF,from_2020,513030.SH,128,0.08338762214983714
base6_plus_红利低波100ETF,from_2020,CASH,80,0.05211726384364821
base6_plus_十年国债ETF,from_2020,159941.SZ,331,0.21563517915309446
base6_plus_十年国债ETF,from_2020,159985.SZ,292,0.19022801302931597
base6_plus_十年国债ETF,from_2020,159915.SZ,275,0.1791530944625407
base6_plus_十年国债ETF,from_2020,518880.SH,191,0.1244299674267101
base6_plus_十年国债ETF,from_2020,513520.SH,175,0.11400651465798045
base6_plus_十年国债ETF,from_2020,513030.SH,162,0.10553745928338762
base6_plus_十年国债ETF,from_2020,CASH,70,0.04560260586319218
base6_plus_十年国债ETF,from_2020,511260.SH,39,0.025407166123778503
base6_plus_上证50ETF,from_2020,159941.SZ,324,0.21107491856677524
base6_plus_上证50ETF,from_2020,159985.SZ,273,0.1778501628664495
base6_plus_上证50ETF,from_2020,159915.SZ,269,0.1752442996742671
base6_plus_上证50ETF,from_2020,518880.SH,184,0.11986970684039087
base6_plus_上证50ETF,from_2020,513520.SH,166,0.10814332247557003
base6_plus_上证50ETF,from_2020,513030.SH,155,0.10097719869706841
base6_plus_上证50ETF,from_2020,CASH,95,0.06188925081433225
base6_plus_上证50ETF,from_2020,510050.SH,69,0.04495114006514658
base6_plus_中证1000ETF+红利低波100ETF,from_2020,159941.SZ,288,0.18762214983713354
base6_plus_中证1000ETF+红利低波100ETF,from_2020,159985.SZ,254,0.16547231270358306
base6_plus_中证1000ETF+红利低波100ETF,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_中证1000ETF+红利低波100ETF,from_2020,512100.SH,165,0.10749185667752444
base6_plus_中证1000ETF+红利低波100ETF,from_2020,518880.SH,159,0.10358306188925082
base6_plus_中证1000ETF+红利低波100ETF,from_2020,513520.SH,137,0.08925081433224756
base6_plus_中证1000ETF+红利低波100ETF,from_2020,515100.SH,135,0.08794788273615635
base6_plus_中证1000ETF+红利低波100ETF,from_2020,513030.SH,113,0.0736156351791531
base6_plus_中证1000ETF+红利低波100ETF,from_2020,CASH,78,0.050814332247557006
base6_plus_中证1000ETF+十年国债ETF,from_2020,159941.SZ,301,0.19609120521172638
base6_plus_中证1000ETF+十年国债ETF,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_中证1000ETF+十年国债ETF,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_中证1000ETF+十年国债ETF,from_2020,512100.SH,173,0.11270358306188925
base6_plus_中证1000ETF+十年国债ETF,from_2020,518880.SH,171,0.11140065146579804
base6_plus_中证1000ETF+十年国债ETF,from_2020,513520.SH,164,0.10684039087947883
base6_plus_中证1000ETF+十年国债ETF,from_2020,513030.SH,142,0.09250814332247558
base6_plus_中证1000ETF+十年国债ETF,from_2020,CASH,59,0.038436482084690554
base6_plus_中证1000ETF+十年国债ETF,from_2020,511260.SH,39,0.025407166123778503
base6_plus_中证1000ETF+上证50ETF,from_2020,159941.SZ,298,0.19413680781758957
base6_plus_中证1000ETF+上证50ETF,from_2020,159985.SZ,265,0.17263843648208468
base6_plus_中证1000ETF+上证50ETF,from_2020,159915.SZ,200,0.13029315960912052
base6_plus_中证1000ETF+上证50ETF,from_2020,518880.SH,167,0.10879478827361563
base6_plus_中证1000ETF+上证50ETF,from_2020,512100.SH,166,0.10814332247557003
base6_plus_中证1000ETF+上证50ETF,from_2020,513520.SH,159,0.10358306188925082
base6_plus_中证1000ETF+上证50ETF,from_2020,513030.SH,135,0.08794788273615635
base6_plus_中证1000ETF+上证50ETF,from_2020,CASH,92,0.05993485342019544
base6_plus_中证1000ETF+上证50ETF,from_2020,510050.SH,53,0.03452768729641694
base6_plus_红利低波100ETF+十年国债ETF,from_2020,159941.SZ,312,0.20325732899022803
base6_plus_红利低波100ETF+十年国债ETF,from_2020,159915.SZ,275,0.1791530944625407
base6_plus_红利低波100ETF+十年国债ETF,from_2020,159985.SZ,259,0.16872964169381108
base6_plus_红利低波100ETF+十年国债ETF,from_2020,518880.SH,179,0.11661237785016286
base6_plus_红利低波100ETF+十年国债ETF,from_2020,515100.SH,154,0.1003257328990228
base6_plus_红利低波100ETF+十年国债ETF,from_2020,513520.SH,148,0.09641693811074918
base6_plus_红利低波100ETF+十年国债ETF,from_2020,513030.SH,128,0.08338762214983714
base6_plus_红利低波100ETF+十年国债ETF,from_2020,CASH,48,0.031270358306188926
base6_plus_红利低波100ETF+十年国债ETF,from_2020,511260.SH,32,0.020846905537459284
base6_plus_红利低波100ETF+上证50ETF,from_2020,159941.SZ,307,0.2
base6_plus_红利低波100ETF+上证50ETF,from_2020,159915.SZ,269,0.1752442996742671
base6_plus_红利低波100ETF+上证50ETF,from_2020,159985.SZ,255,0.16612377850162866
base6_plus_红利低波100ETF+上证50ETF,from_2020,518880.SH,174,0.11335504885993486
base6_plus_红利低波100ETF+上证50ETF,from_2020,513520.SH,139,0.09055374592833876
base6_plus_红利低波100ETF+上证50ETF,from_2020,515100.SH,136,0.08859934853420195
base6_plus_红利低波100ETF+上证50ETF,from_2020,513030.SH,123,0.08013029315960912
base6_plus_红利低波100ETF+上证50ETF,from_2020,CASH,75,0.048859934853420196
base6_plus_红利低波100ETF+上证50ETF,from_2020,510050.SH,57,0.03713355048859935
base6_plus_十年国债ETF+上证50ETF,from_2020,159941.SZ,324,0.21107491856677524
base6_plus_十年国债ETF+上证50ETF,from_2020,159985.SZ,273,0.1778501628664495
base6_plus_十年国债ETF+上证50ETF,from_2020,159915.SZ,269,0.1752442996742671
base6_plus_十年国债ETF+上证50ETF,from_2020,518880.SH,182,0.11856677524429968
base6_plus_十年国债ETF+上证50ETF,from_2020,513520.SH,166,0.10814332247557003
base6_plus_十年国债ETF+上证50ETF,from_2020,513030.SH,155,0.10097719869706841
base6_plus_十年国债ETF+上证50ETF,from_2020,510050.SH,69,0.04495114006514658
base6_plus_十年国债ETF+上证50ETF,from_2020,CASH,58,0.03778501628664495
base6_plus_十年国债ETF+上证50ETF,from_2020,511260.SH,39,0.025407166123778503
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,159941.SZ,288,0.18762214983713354
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,159985.SZ,254,0.16547231270358306
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,512100.SH,165,0.10749185667752444
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,518880.SH,159,0.10358306188925082
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,513520.SH,137,0.08925081433224756
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,515100.SH,135,0.08794788273615635
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,513030.SH,113,0.0736156351791531
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,CASH,46,0.02996742671009772
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,from_2020,511260.SH,32,0.020846905537459284
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,159941.SZ,287,0.18697068403908795
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,159985.SZ,250,0.16286644951140064
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,159915.SZ,200,0.13029315960912052
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,512100.SH,161,0.10488599348534201
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,518880.SH,157,0.1022801302931596
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,513520.SH,132,0.08599348534201955
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,515100.SH,124,0.08078175895765473
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,513030.SH,108,0.07035830618892508
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,CASH,74,0.04820846905537459
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,from_2020,510050.SH,42,0.02736156351791531
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,159941.SZ,298,0.19413680781758957
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,159985.SZ,265,0.17263843648208468
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,159915.SZ,200,0.13029315960912052
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,512100.SH,166,0.10814332247557003
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,518880.SH,165,0.10749185667752444
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,513520.SH,159,0.10358306188925082
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,513030.SH,135,0.08794788273615635
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,CASH,55,0.035830618892508145
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,510050.SH,53,0.03452768729641694
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,from_2020,511260.SH,39,0.025407166123778503
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,159941.SZ,307,0.2
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,159915.SZ,269,0.1752442996742671
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,159985.SZ,255,0.16612377850162866
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,518880.SH,174,0.11335504885993486
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,513520.SH,139,0.09055374592833876
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,515100.SH,136,0.08859934853420195
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,513030.SH,123,0.08013029315960912
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,510050.SH,57,0.03713355048859935
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,CASH,43,0.028013029315960912
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,from_2020,511260.SH,32,0.020846905537459284
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF+上证50ETF,from_2020,159941.SZ,287,0.18697068403908795
