variant,window,start,end,score_gate_days,score_gate_episodes,overheat_on_days,overheat_trigger_count,overheat_recover_count,overheat_tc_sum,post_vs_pre_nav_delta,post_vs_pre_nav_ratio_minus_1,return_delta_sum
baseline_score_lt_5_half,from_2020,2020-01-02,2026-05-08,0,0,17,10,5,0.01,2.3700126184553483,0.17168463773839382,0.15219032908696878
baseline_score_lt_5_half,6Y,2020-05-08,2026-05-08,0,0,17,9,5,0.01,2.175644828986785,0.17168463773839338,0.15219032908696944
baseline_score_lt_5_half,3Y,2023-05-08,2026-05-08,0,0,7,7,3,0.006,0.90431155070796,0.14119408523558663,0.12779446209085124
baseline_score_lt_5_half,1Y,2025-05-08,2026-05-08,0,0,3,2,1,0.002,0.09320756876068037,0.051868292510913294,0.048670253879177686
score_over5_cash_full_reentry,from_2020,2020-01-02,2026-05-08,198,27,17,10,5,0.01,1.9175289593510616,0.15134647184042027,0.13583441688129022
score_over5_cash_full_reentry,6Y,2020-05-08,2026-05-08,180,25,17,9,5,0.01,1.6315948394401758,0.1513464718404196,0.13583441688129064
score_over5_cash_full_reentry,3Y,2023-05-08,2026-05-08,100,15,7,7,3,0.006,0.7496798308688764,0.12607109236073355,0.11504106392791205
score_over5_cash_full_reentry,1Y,2025-05-08,2026-05-08,64,8,3,2,1,0.002,0.08618950429424399,0.05198940898329818,0.04877775630004172
score_over5_cash_half_reentry,from_2020,2020-01-02,2026-05-08,198,27,17,10,5,0.01,2.0625496373491288,0.17710320686876302,0.15635125720177878
score_over5_cash_half_reentry,6Y,2020-05-08,2026-05-08,180,25,17,9,5,0.01,1.918483919244009,0.17710320686876324,0.1563512572017786
score_over5_cash_half_reentry,3Y,2023-05-08,2026-05-08,100,15,7,7,3,0.006,0.8552273283909004,0.14521362114311254,0.13104434800002243
score_over5_cash_half_reentry,1Y,2025-05-08,2026-05-08,64,8,3,2,1,0.002,0.09238271524679309,0.055255537399605315,0.051648762523741946
