scenario,switch_buffer,min_hold_days,window,start,end,days,cagr,maxdd,sharpe,asset_changes,trade_count_delta,turnover_sum,cash_days,position_segments,non_cash_segments,avg_non_cash_hold_days,median_non_cash_hold_days,max_non_cash_hold_days,one_day_non_cash_segments,le2_day_non_cash_segments,le2_day_segment_share
switch_buffer_1.00,1.0,0,from_2020,2020-01-02,2026-05-08,1535,0.6046498183466706,-0.16540663933670907,1.9322335498650283,212,364,344.5,107,213,193,7.398963730569948,5.0,46,21,55,0.2849740932642487
switch_buffer_1.00,1.0,0,5Y,2021-05-10,2026-05-08,1211,0.668056866618334,-0.16540663933670907,2.119619516211932,156,271,255.5,90,157,141,7.950354609929078,5.0,46,13,36,0.2553191489361702
switch_buffer_1.00,1.0,0,3Y,2023-05-08,2026-05-08,727,0.9997977591583516,-0.16540663933670918,2.726325251448377,96,168,162.5,53,97,90,7.488888888888889,5.0,46,7,21,0.23333333333333334
switch_buffer_1.00,1.0,0,1Y,2025-05-08,2026-05-08,243,0.936265919002575,-0.1333857222638163,2.7940871271004735,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.03,1.03,0,from_2020,2020-01-02,2026-05-08,1535,0.6105787179336151,-0.18114818211576322,1.950710332420864,207,359,339.5,107,208,188,7.595744680851064,5.0,46,17,46,0.24468085106382978
switch_buffer_1.03,1.03,0,5Y,2021-05-10,2026-05-08,1211,0.6758089398804048,-0.1811481821157631,2.1417341427271634,154,269,253.5,90,155,139,8.06474820143885,5.0,46,13,32,0.2302158273381295
switch_buffer_1.03,1.03,0,3Y,2023-05-08,2026-05-08,727,1.0163068296390039,-0.16549301711857656,2.7575087157664084,94,167,161.5,53,95,88,7.659090909090909,5.0,46,6,18,0.20454545454545456
switch_buffer_1.03,1.03,0,1Y,2025-05-08,2026-05-08,243,0.9469103132480865,-0.13338572226381562,2.8160833049238225,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.05,1.05,0,from_2020,2020-01-02,2026-05-08,1535,0.6173114209797326,-0.18114818211576256,1.9665941354978582,207,358,338.5,107,208,188,7.595744680851064,5.0,46,17,46,0.24468085106382978
switch_buffer_1.05,1.05,0,5Y,2021-05-10,2026-05-08,1211,0.6808466899243788,-0.18114818211576256,2.153866748960272,154,268,252.5,90,155,139,8.06474820143885,5.0,46,13,32,0.2302158273381295
