window,asset,days,share,log_return_contrib,pct_of_total_log_return,mean_daily_return_when_held,worst_day_when_held
10Y,CASH,268,0.1063070210234034,-0.028041458046527013,-0.024077533262495888,-0.00010459440949314849,-0.0007500000000000284
10Y,TLT,308,0.12217374057913527,-0.009307732692057369,-0.007991996818410368,7.211251619323038e-05,-0.0716826205547203
10Y,VEA,143,0.056723522411741376,0.07576335350587905,0.06505348834177213,0.0006194594139108343,-0.03307242656421561
10Y,EEM,297,0.11781039270130901,0.0958286958268163,0.08228240512470557,0.0003935817808745623,-0.041636789292112786
10Y,PDBC,439,0.17413724712415707,0.20928271105589855,0.17969862438511125,0.0005806979373291488,-0.0701424390029558
10Y,GLD,384,0.15232050773502578,0.39528242811337655,0.33940552574650146,0.0011534854454337002,-0.06537385205818624
10Y,QQQ,682,0.27052756842522807,0.425823683597656,0.3656294864828155,0.0007215439970772137,-0.0734717049694481
15Y,CASH,441,0.11663581063210791,-0.042258829257360575,-0.030479199110450876,-9.57903706201332e-05,-0.0007500000000000284
15Y,VEA,216,0.05712774398307326,0.1102133847410918,0.07949145201592073,0.0005953878923385521,-0.03307242656421561
15Y,PDBC,523,0.1383231949219783,0.18110049923591526,0.13061881439254705,0.0004465174892809236,-0.0701424390029558
15Y,TLT,613,0.16212642158159218,0.21675247936278064,0.1563328206739515,0.00044827797112364636,-0.07325815073290176
15Y,EEM,465,0.12298333774133827,0.23424003049004233,0.16894572458371043,0.0005975701343471489,-0.05493289639353627
15Y,QQQ,960,0.2539010843692145,0.31556118959201285,0.22759864620315862,0.00041098712039460404,-0.0734717049694481
15Y,GLD,563,0.14890240677069558,0.3708722063168794,0.26749174124116304,0.0007820659089727341,-0.06537385205818624
from_2020,TLT,148,0.0924422236102436,-0.06657513405739673,-0.051439723013324265,-0.00029249989078280873,-0.0716826205547203
from_2020,CASH,197,0.12304809494066209,-0.020538644139485238,-0.015869320889290425,-0.0001042198058079366,-0.0007500000000000284
from_2020,EEM,136,0.08494690818238601,0.07222530976387967,0.05580536909775456,0.0006206973797769478,-0.041636789292112786
from_2020,VEA,126,0.07870081199250469,0.13657222810721933,0.10552344632293494,0.0011788726142518207,-0.028262302059270605
from_2020,PDBC,281,0.1755153029356652,0.30468880438099977,0.2354198444288109,0.0012143059012880773,-0.0701424390029558
from_2020,GLD,279,0.17426608369768895,0.3852084789089678,0.29763390998774486,0.0015202695687083784,-0.06537385205818624
from_2020,QQQ,434,0.27108057464084945,0.48265481519065023,0.3729264740653695,0.001236960510642629,-0.0734717049694481
