version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool,dropped,delta_cagr,delta_maxdd,delta_sharpe,delta_vol,maxdd_improve_abs
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,1.198252348843806,0.053913990504091514,-0.3900039905968373,0.3618788625062753,0.20089083191743637,636,622,622,313,276,0,0,0,1096,0.8527158227492235,852.7158227492234,1.4554993606921371,1.0935091674879074,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.047760421443014955,0.021864621110200155,-0.21069748948005174,-0.00545048988830657,0.021864621110200155
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,0.6666579556961196,0.05240922909699641,-0.341520081902012,0.3531853313123558,0.20306656023915468,385,431,431,213,188,0,0,0,751,0.5812906425806583,581.2906425806582,1.4595928588934461,1.1149283668320626,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.07339814924338528,0.004373594930464519,-0.3127336974998081,-0.008584920284993441,0.004373594930464519
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,0.6314937801456104,0.08009334636495846,-0.33601667773001764,0.4579081628401063,0.22235252348777418,277,275,275,134,118,0,0,0,545,0.35791628338096304,357.916283380963,1.439334969374035,1.0708172798285274,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.14008599422037826,-0.1055116788381365,-0.5058834180588794,-0.012972342148827837,-0.1055116788381365
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,0.144707277473203,0.027398408806123653,-0.33601667773001764,0.23348385248960637,0.21364910672398535,233,212,212,99,88,0,0,0,397,0.27468912495634856,274.68912495634856,1.4645827862954945,1.074361378423339,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.17632362627543863,-0.10551167883813639,-0.7052469406732974,-0.01073588997317404,-0.10551167883813639
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,0.0451339467298415,0.01482381752131845,-0.33601667773001764,0.17488203029562566,0.20658905780298467,121,142,142,64,55,0,0,0,195,0.17345815001883963,173.45815001883963,1.4778792025880134,1.1035679488414911,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.21908281000007768,-0.10551167883813639,-0.8871951882138746,-0.014418721152237912,-0.10551167883813639
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.21077964312912556,0.21077964312912556,-0.11622816051995799,0.9303663927121621,0.2357188366710088,12,61,61,27,24,0,0,0,109,0.07145224368181458,71.45224368181456,1.4343688074774534,1.20104460134985,1.5,drop_QQQ,"GLD,TLT,PDBC,EEM,VEA",QQQ,-0.17197360325425226,-0.008014371644503582,-0.5723219066765648,0.0015941550821259864,-0.008014371644503582
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,3.0148299212568714,0.09709560890620583,-0.3551898245311903,0.5640151415490087,0.199730966422662,552,679,679,308,278,0,0,0,1088,0.852634843421602,852.6348434216019,1.4521178629371156,1.1136163082803048,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.004578803040900636,0.05667878717584718,-0.00856121043731839,-0.00661035538308094,0.05667878717584718
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,1.9851920395302742,0.115571029573315,-0.3551898245311902,0.6348232459252365,0.2056811510034577,361,464,464,207,189,0,0,0,788,0.5769613840162208,576.9613840162208,1.4493282924062751,1.1131893505445976,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.010236348767066694,-0.009296147698713675,-0.03109578288692738,-0.005970329520690404,-0.009296147698713675
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,2.0107817271368282,0.18944645067730614,-0.3551898245311902,0.8725763273209992,0.22897266355413518,267,280,280,126,114,0,0,0,622,0.3429613840162208,342.9613840162208,1.420241909346542,1.0654198397079242,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.03073288990803058,-0.12468482563930905,-0.09121525357798643,-0.00635220208246684,-0.12468482563930905
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,0.7994998840369321,0.12468360580755178,-0.3551898245311903,0.6509936597373938,0.21652613707065338,225,210,210,94,86,0,0,0,397,0.26686810057250393,266.8681005725039,1.4566914926960324,1.0799493748489992,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.0790384292740105,-0.12468482563930905,-0.28773713342551,-0.00785885962650601,-0.12468482563930905
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,0.16088500596486344,0.050984716722265455,-0.3551898245311903,0.3457286218344218,0.2048830859214272,111,141,141,63,58,0,0,0,164,0.179750930000009,179.75093000000896,1.492557439949885,1.1340620909838355,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.18292191079913067,-0.12468482563930905,-0.7163485966750784,-0.01612469303379538,-0.12468482563930905
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.04565740627808745,0.04565740627808745,-0.19351301464930903,0.31415916791731957,0.22021358223133725,22,65,65,28,24,0,0,0,84,0.07700093000000899,77.00093000000899,1.4776723198496553,1.1581386539038876,1.5,drop_GLD,"QQQ,TLT,PDBC,EEM,VEA",GLD,-0.33709584010529037,-0.08529922577385463,-1.1885291314714075,-0.013911099357545559,-0.08529922577385463
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,6.934119902399915,0.1480652821869357,-0.33870233934679184,0.7881189023042205,0.20085429755839912,738,637,637,296,262,0,0,0,1167,0.8156443964624686,815.6443964624684,1.4558763508510109,1.0532698949011194,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.04639087023982924,0.07316627236024564,0.2155425503178935,-0.005487024247343819,0.07316627236024564
