strategy,window,start,end,rows,old_annual,new_annual,delta_annual,old_maxdd,new_maxdd,delta_maxdd,old_total,new_total,delta_total,old_rebased_nav,new_rebased_nav,delta_rebased_nav,old_trades,new_trades,delta_trades,old_turnover,new_turnover,delta_turnover,old_cost,new_cost,delta_cost
V1.1,full_sample,2011-12-09,2026-08-11,3562,0.3570605638249673,0.3566356840933478,-0.00042487973161953185,-0.3022822511083567,-0.3022073128623251,7.493824603160837e-05,73.86513179551403,73.53449820701488,-0.33063358849915403,74.86513179551403,74.53449820701488,-0.33063358849915403,772,845,73,751.519596338034,751.5280635332597,0.008467195225648538,0.7515195963380341,0.7515280635332597,8.467195225625446e-06
V1.1,10Y,2016-03-29,2026-08-11,2520,0.3956284235251275,0.3951503287152911,-0.0004780948098364046,-0.2974831161317021,-0.2974076694461061,7.544668559600343e-05,27.034838432673816,26.9389485270567,-0.09588990561711697,28.034838432673816,27.9389485270567,-0.09588990561711697,608,669,61,613.0788611278499,613.0854669804535,0.0066058526035703835,0.6130788611278499,0.6130854669804535,6.6058526035917e-06
V1.1,5Y,2021-06-02,2026-08-11,1260,0.7139105557067154,0.7136062449988121,-0.00030431070790326586,-0.1735351877184948,-0.1735351877184949,-1.1102230246251565e-16,13.789066701633496,13.775942115062598,-0.01312458657089799,14.789066701633496,14.775942115062598,-0.01312458657089799,328,332,4,326.3064312360905,326.3081525547634,0.0017213186729350127,0.3263064312360905,0.3263081525547633,1.7213186728204377e-06
V1.1,3Y,2023-06-30,2026-08-11,756,0.8952833636098367,0.894750182208196,-0.0005331814016407144,-0.1633573653168366,-0.1633573653168365,8.326672684688674e-17,5.808045528920502,5.802301423971734,-0.00574410494876787,6.808045528920502,6.802301423971734,-0.00574410494876787,208,210,2,195.95826005224075,195.95989456881708,0.0016345165763311797,0.1959582600522407,0.195959894568817,1.6345165762821079e-06
V1.1,1Y,2025-07-29,2026-08-11,252,0.8978845385846725,0.8978845385846725,0.0,-0.1284906647598372,-0.1284906647598372,0.0,0.8978845385846725,0.8978845385846725,0.0,1.8978845385846723,1.8978845385846723,0.0,84,84,0,77.16075745855844,77.16075745855844,0.0,0.0771607574585584,0.0771607574585584,0.0
V1.3,full_sample,2007-01-04,2026-08-11,4764,0.1685407875567199,0.1685407875567199,0.0,-0.3046074177984189,-0.3046074177984189,0.0,18.001652362461915,18.001652362461915,0.0,19.001652362461915,19.001652362461915,0.0,719,719,0,568.9518949269205,568.9518949269205,0.0,0.5689518949269206,0.5689518949269206,0.0
V1.3,10Y,2016-03-29,2026-08-11,2520,0.1755018305515427,0.1755018305515427,0.0,-0.2154715708633776,-0.2154715708633776,0.0,4.037709238068483,4.037709238068483,0.0,5.037709238068483,5.037709238068483,0.0,406,406,0,327.32349619977583,327.32349619977583,0.0,0.3273234961997758,0.3273234961997758,0.0
V1.3,5Y,2021-06-02,2026-08-11,1260,0.2171109468620209,0.2171109468620209,0.0,-0.2154715708633767,-0.2154715708633767,0.0,1.6708582704812065,1.6708582704812065,0.0,2.6708582704812063,2.6708582704812063,0.0,234,234,0,194.55080793941255,194.55080793941255,0.0,0.1945508079394126,0.1945508079394126,0.0
V1.3,3Y,2023-06-30,2026-08-11,756,0.3442326839179046,0.3442326839179046,0.0,-0.1307321335763959,-0.1307321335763959,0.0,1.4289767183249549,1.4289767183249549,0.0,2.4289767183249547,2.4289767183249547,0.0,143,143,0,123.77458455937148,123.77458455937148,0.0,0.1237745845593714,0.1237745845593714,0.0
V1.3,1Y,2025-07-29,2026-08-11,252,0.3232138701954492,0.3232138701954492,0.0,-0.1307321335763961,-0.1307321335763961,0.0,0.3232138701954492,0.3232138701954492,0.0,1.3232138701954492,1.3232138701954492,0.0,64,64,0,52.99682139990854,52.99682139990854,0.0,0.0529968213999085,0.0529968213999085,0.0
