version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,diagnostic_label
diagnostic,hard_cap_5_current,from_2020,2020-01-02,2026-05-08,1535,15.747316755280057,0.5883065674850185,-0.18054057908721044,1.8987898024441365,0.26176011292387075,113,345,345,187,151,18,6,6,1269,0.40891608838425264,408.91608838425265,1.1836662793009454,0.9531226868918853,1.5,hard_cap_5_current
diagnostic,hard_cap_5_current,5Y,2021-05-10,2026-05-08,1211,9.896363466685681,0.6438057773596817,-0.18054057908721055,2.0689719969618614,0.25603986808987683,96,245,245,138,114,18,6,6,960,0.3224209088898115,322.42090888981147,1.2261394012910594,0.9881679731089424,1.5,hard_cap_5_current
diagnostic,hard_cap_5_current,3Y,2023-05-08,2026-05-08,727,6.571800841574701,1.0172364199886679,-0.16550599700214552,2.7626579453777222,0.2669846459938101,53,165,165,87,71,8,4,4,611,0.1916476809452099,191.64768094520988,1.157271140181522,0.928425968735333,1.5,hard_cap_5_current
diagnostic,hard_cap_5_current,1Y,2025-05-08,2026-05-08,243,0.9083217351116701,0.9545469199680434,-0.12751321964343498,2.836320506321077,0.24724049356492475,18,67,67,36,25,4,2,2,214,0.07372737758619043,73.72737758619043,1.195169200640551,0.9407402119497495,1.5,hard_cap_5_current
diagnostic,no_cap_raw,from_2020,2020-01-02,2026-05-08,1535,7.8394739788895595,0.430125794611939,-0.20318702793680066,1.5563612677778584,0.2499880667380471,95,247,247,128,113,84,20,18,1248,0.2928725964822836,292.87259648228354,1.0501638335880235,0.8520739664240354,1.5,no_cap_raw
diagnostic,no_cap_raw,5Y,2021-05-10,2026-05-08,1211,5.947846805331909,0.496865254755658,-0.20318702793680055,1.733952279771226,0.25075577413042854,78,181,181,98,88,64,14,12,953,0.23294797146376872,232.9479714637687,1.0849906780689602,0.8837581506699735,1.5,no_cap_raw
diagnostic,no_cap_raw,3Y,2023-05-08,2026-05-08,727,3.4203135333764676,0.6739149591522222,-0.20318702793680066,2.1117752753980357,0.2600003960258482,45,117,117,57,51,53,11,9,597,0.12330107736699134,123.30107736699134,0.9551009635089273,0.7514010044921384,1.5,no_cap_raw
diagnostic,no_cap_raw,1Y,2025-05-08,2026-05-08,243,0.581491831762303,0.608569401772864,-0.08768203058983248,2.1238951279055307,0.23725236562994237,11,38,38,17,14,28,5,5,210,0.036794343952362585,36.79434395236258,0.9048948542646096,0.6962350710206056,1.338767096262409,no_cap_raw
diagnostic,log_compress_pivot_2,from_2020,2020-01-02,2026-05-08,1535,7.726517148159598,0.4271094301105438,-0.20318702793680032,1.547720096061251,0.2500230827926049,95,246,246,128,113,84,20,18,1248,0.29278896066114546,292.78896066114544,1.0499138961950318,0.8520770025966226,1.5,log_compress_pivot_2
diagnostic,log_compress_pivot_2,5Y,2021-05-10,2026-05-08,1211,5.897432109023725,0.494598537081794,-0.20318702793680032,1.727675564860281,0.250793597372523,78,180,180,98,88,64,14,12,953,0.2329324689473504,232.93246894735037,1.0849631252799923,0.8840061465538791,1.5,log_compress_pivot_2
diagnostic,log_compress_pivot_2,3Y,2023-05-08,2026-05-08,727,3.388022244719302,0.6696661109580746,-0.20318702793680032,2.1014646962579517,0.2600730472360941,45,116,116,57,51,53,11,9,597,0.12330406792167012,123.30406792167011,0.955098537356186,0.7518517389044842,1.5,log_compress_pivot_2
diagnostic,log_compress_pivot_2,1Y,2025-05-08,2026-05-08,243,0.5699387125406004,0.5963849083444122,-0.0876820305898327,2.089971404905585,0.2374844495051387,11,37,37,17,14,28,5,5,210,0.03679733450704137,36.797334507041356,0.9048875957747212,0.6975835645093933,1.3387670962624107,log_compress_pivot_2
diagnostic,soft_penalty_5_half,from_2020,2020-01-02,2026-05-08,1535,9.763228624639051,0.47711181614572995,-0.20318702793680055,1.6424057147345208,0.25783726690145714,96,274,274,147,122,50,18,13,1280,0.32029012594056605,320.290125940566,1.0829018895523346,0.8871587558728521,1.5,soft_penalty_5_half
diagnostic,soft_penalty_5_half,5Y,2021-05-10,2026-05-08,1211,6.449878581880856,0.5187549054863274,-0.20318702793680044,1.7693083833051577,0.2545096002836059,79,197,197,110,92,41,13,10,975,0.2527244448398903,252.7244448398903,1.118228671758035,0.9174530790914033,1.5,soft_penalty_5_half
diagnostic,soft_penalty_5_half,3Y,2023-05-08,2026-05-08,727,3.729423021756533,0.7135971989723602,-0.20318702793680044,2.1584959211952093,0.2659947786019918,46,133,133,69,55,30,10,7,619,0.143175796602078,143.17579660207798,1.010821718822509,0.8077988242250465,1.5,soft_penalty_5_half
diagnostic,soft_penalty_5_half,1Y,2025-05-08,2026-05-08,243,0.589455313427276,0.6169700061437606,-0.10054838363065965,2.1318956426486437,0.23907472574108432,12,50,50,25,16,22,5,3,216,0.044863177255431555,44.863177255431566,0.9600637266487092,0.7335888507393199,1.338767096262407,soft_penalty_5_half
diagnostic,vol_adjusted_slope,from_2020,2020-01-02,2026-05-08,1535,4.207117388105751,0.31112272990653045,-0.27852871968167925,1.2156491184828027,0.24827454982156558,95,299,299,140,128,42,15,11,1203,0.34888552387833716,348.88552387833715,1.1926424260868371,0.9771401157888367,1.5,vol_adjusted_slope
diagnostic,vol_adjusted_slope,5Y,2021-05-10,2026-05-08,1211,3.9762666033942073,0.39643398778644867,-0.2133546119795059,1.4696814767363722,0.24821862269007175,78,224,224,108,100,28,11,8,905,0.2800494456230387,280.04944562303865,1.2454272152336512,1.0276023275424346,1.5,vol_adjusted_slope
diagnostic,vol_adjusted_slope,3Y,2023-05-08,2026-05-08,727,2.2171381090439306,0.4993541184901247,-0.21335461197950578,1.711725684467312,0.25585195041704467,45,140,140,65,60,22,8,5,571,0.16180758225243108,161.80758225243105,1.1843104465759542,0.9672426375596583,1.5,vol_adjusted_slope
diagnostic,vol_adjusted_slope,1Y,2025-05-08,2026-05-08,243,0.42730521457720605,0.44623776818750094,-0.11405227232177362,1.6021402564762646,0.24988960822049266,11,53,53,22,21,14,4,3,223,0.04924285664572199,49.24285664572199,0.9914475664502604,0.7899139146239161,1.4854031638644252,vol_adjusted_slope
