score_gate_variant,position,days
baseline_no_exempt,159915.SZ,741
baseline_no_exempt,CASH,740
baseline_no_exempt,159941.SZ,632
baseline_no_exempt,518880.SH,509
baseline_no_exempt,513030.SH,379
baseline_no_exempt,159985.SZ,296
baseline_no_exempt,513520.SH,204
exempt_159915_SZ,159915.SZ,983
exempt_159915_SZ,CASH,661
exempt_159915_SZ,159941.SZ,589
exempt_159915_SZ,518880.SH,462
exempt_159915_SZ,513030.SH,319
exempt_159915_SZ,159985.SZ,294
exempt_159915_SZ,513520.SH,193
exempt_159915_SZ+159941_SZ,159915.SZ,967
exempt_159915_SZ+159941_SZ,CASH,661
exempt_159915_SZ+159941_SZ,159941.SZ,622
exempt_159915_SZ+159941_SZ,518880.SH,462
exempt_159915_SZ+159941_SZ,513030.SH,310
exempt_159915_SZ+159941_SZ,159985.SZ,289
exempt_159915_SZ+159941_SZ,513520.SH,190
exempt_159915_SZ+159941_SZ+159985_SZ,159915.SZ,962
exempt_159915_SZ+159941_SZ+159985_SZ,CASH,652
exempt_159915_SZ+159941_SZ+159985_SZ,159941.SZ,618
exempt_159915_SZ+159941_SZ+159985_SZ,518880.SH,451
exempt_159915_SZ+159941_SZ+159985_SZ,159985.SZ,318
exempt_159915_SZ+159941_SZ+159985_SZ,513030.SH,310
exempt_159915_SZ+159941_SZ+159985_SZ,513520.SH,190
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,159915.SZ,962
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,159941.SZ,616
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,518880.SH,466
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,159985.SZ,318
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,513030.SH,310
exempt_159915_SZ+159941_SZ+159985_SZ+518880_SH,513520.SH,178
exempt_159915_SZ+159941_SZ+513030_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513030_SH,CASH,661
exempt_159915_SZ+159941_SZ+513030_SH,159941.SZ,618
exempt_159915_SZ+159941_SZ+513030_SH,518880.SH,462
exempt_159915_SZ+159941_SZ+513030_SH,513030.SH,338
exempt_159915_SZ+159941_SZ+513030_SH,159985.SZ,287
exempt_159915_SZ+159941_SZ+513030_SH,513520.SH,168
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,159915.SZ,962
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,CASH,652
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,159941.SZ,614
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,518880.SH,451
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,513030.SH,338
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,159985.SZ,316
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ,513520.SH,168
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,159915.SZ,962
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,159941.SZ,612
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,518880.SH,466
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,513030.SH,338
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,159985.SZ,316
exempt_159915_SZ+159941_SZ+513030_SH+159985_SZ+518880_SH,513520.SH,156
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,CASH,661
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,159941.SZ,599
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,518880.SH,460
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,513030.SH,334
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,159985.SZ,287
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH,513520.SH,193
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,159915.SZ,962
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,CASH,652
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,159941.SZ,595
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,518880.SH,449
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,513030.SH,334
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,159985.SZ,316
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ,513520.SH,193
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159915.SZ,962
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159941.SZ,595
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,518880.SH,464
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513030.SH,334
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159985.SZ,316
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513520.SH,179
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,CASH,660
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,159941.SZ,599
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,518880.SH,475
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,513030.SH,334
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,159985.SZ,287
exempt_159915_SZ+159941_SZ+513030_SH+513520_SH+518880_SH,513520.SH,179
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,CASH,660
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,159941.SZ,616
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,518880.SH,477
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,513030.SH,338
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,159985.SZ,287
exempt_159915_SZ+159941_SZ+513030_SH+518880_SH,513520.SH,156
exempt_159915_SZ+159941_SZ+513520_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513520_SH,CASH,661
exempt_159915_SZ+159941_SZ+513520_SH,159941.SZ,603
exempt_159915_SZ+159941_SZ+513520_SH,518880.SH,460
exempt_159915_SZ+159941_SZ+513520_SH,513030.SH,306
exempt_159915_SZ+159941_SZ+513520_SH,159985.SZ,289
exempt_159915_SZ+159941_SZ+513520_SH,513520.SH,215
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,159915.SZ,962
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,CASH,652
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,159941.SZ,599
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,518880.SH,449
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,159985.SZ,318
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,513030.SH,306
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ,513520.SH,215
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,159915.SZ,962
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,159941.SZ,599
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,518880.SH,464
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,159985.SZ,318
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,513030.SH,306
exempt_159915_SZ+159941_SZ+513520_SH+159985_SZ+518880_SH,513520.SH,201
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,CASH,660
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,159941.SZ,603
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,518880.SH,475
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,513030.SH,306
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,159985.SZ,289
exempt_159915_SZ+159941_SZ+513520_SH+518880_SH,513520.SH,201
exempt_159915_SZ+159941_SZ+518880_SH,159915.SZ,967
exempt_159915_SZ+159941_SZ+518880_SH,CASH,660
exempt_159915_SZ+159941_SZ+518880_SH,159941.SZ,620
exempt_159915_SZ+159941_SZ+518880_SH,518880.SH,477
exempt_159915_SZ+159941_SZ+518880_SH,513030.SH,310
exempt_159915_SZ+159941_SZ+518880_SH,159985.SZ,289
exempt_159915_SZ+159941_SZ+518880_SH,513520.SH,178
exempt_159915_SZ+159985_SZ,159915.SZ,978
exempt_159915_SZ+159985_SZ,CASH,652
exempt_159915_SZ+159985_SZ,159941.SZ,585
exempt_159915_SZ+159985_SZ,518880.SH,451
exempt_159915_SZ+159985_SZ,159985.SZ,323
exempt_159915_SZ+159985_SZ,513030.SH,319
exempt_159915_SZ+159985_SZ,513520.SH,193
exempt_159915_SZ+159985_SZ+518880_SH,159915.SZ,978
exempt_159915_SZ+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159985_SZ+518880_SH,159941.SZ,583
exempt_159915_SZ+159985_SZ+518880_SH,518880.SH,466
exempt_159915_SZ+159985_SZ+518880_SH,159985.SZ,323
exempt_159915_SZ+159985_SZ+518880_SH,513030.SH,319
exempt_159915_SZ+159985_SZ+518880_SH,513520.SH,181
exempt_159915_SZ+513030_SH,159915.SZ,983
exempt_159915_SZ+513030_SH,CASH,661
