candidate,TARGET_VOL,MAX_LEV,R2_THRESHOLD,VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days,overheat_triggers,staged_initials,staged_fills
tv_10_lev_1,0.1,1.0,0.2,80,full,2011-12-09,2026-05-08,3496,0.14793308875199163,0.11043739628365293,1.304601531305098,-0.13588619407646574,5.779904683870227,2016-03-08,2016-12-05,734,740,2726,0.7797482837528604,0.5907326869292275,1.0,0.03032036613272311,0.9696796338672768,0.40008699077579524,1.0,329.11762070561514,0.3291176207056151,30,11,308,267
tv_10_lev_1,0.1,1.0,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.15316433551012354,0.10812483136527885,1.3723201278884012,-0.13588619407646574,3.158263659524395,2016-03-08,2016-12-05,589,225,2275,0.9027777777777778,0.5644849228709169,0.9682790809770736,0.0,1.0,0.45459851793994716,0.9682790809770736,265.57457351667813,0.2655745735166781,20,7,261,222
tv_10_lev_1,0.1,1.0,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.23672901489755405,0.10720515185804835,2.035976377911313,-0.0784812332002971,1.8931619813014526,2022-03-22,2022-06-09,308,101,1141,0.9055555555555556,0.512126839973119,0.8916722583638497,0.0,1.0,0.4147172556323401,0.8916722583638497,135.7725990364943,0.1357725990364943,18,6,141,118
tv_10_lev_1,0.1,1.0,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.351128215628125,0.10978506491177588,2.7971969380018944,-0.07149604118557695,1.4665486755083856,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,0.4807966709974341,0.7126413449248393,0.0,1.0,0.38897059310464355,0.7126413449248393,80.17510802018558,0.08017510802018557,8,4,89,73
tv_10_lev_1,0.1,1.0,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.3262793198025502,0.10093018561559744,2.8494768956378773,-0.05294657381077894,0.3262793198025502,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.48093687015349096,0.640343797294379,0.0,1.0,0.3745503864041623,0.640343797294379,31.556076610670154,0.031556076610670156,4,2,38,27
tv_10_lev_1p25,0.1,1.25,0.2,80,full,2011-12-09,2026-05-08,3496,0.1497800414929924,0.11210940925494359,1.3011146732492311,-0.13588619407646563,5.93281491602237,2016-03-08,2016-12-05,737,740,2726,0.7797482837528604,0.598469242894957,1.25,0.010583524027459955,0.9307780320366132,0.40303390190059457,1.25,331.89911519446235,0.33189911519446236,30,11,308,267
tv_10_lev_1p25,0.1,1.25,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.15277503163042905,0.10829210075394968,1.3672523462517223,-0.13588619407646563,3.1442468273835438,2016-03-08,2016-12-05,589,225,2275,0.9027777777777778,0.5649237929775163,1.0300580156209698,0.0,0.9948412698412699,0.4550373880465464,1.0300580156209698,265.74472008108273,0.26574472008108274,20,7,261,222
tv_10_lev_1p25,0.1,1.25,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.23672901489755338,0.10720515185804841,2.0359763779113065,-0.07848123320029732,1.8931619813014433,2022-03-22,2022-06-09,308,101,1141,0.9055555555555556,0.512126839973119,0.8916722583638497,0.0,1.0,0.4147172556323401,0.8916722583638497,135.7725990364943,0.1357725990364943,18,6,141,118
tv_10_lev_1p25,0.1,1.25,0.2,80,last_3y,2023-03-22,2026-05-08,756,0.35112821562812413,0.1097850649117759,2.7971969380018935,-0.07149604118557662,1.4665486755083803,2024-07-15,2024-09-10,188,53,695,0.9193121693121693,0.4807966709974341,0.7126413449248393,0.0,1.0,0.38897059310464355,0.7126413449248393,80.17510802018558,0.08017510802018557,8,4,89,73
tv_10_lev_1p25,0.1,1.25,0.2,80,last_1y,2025-04-22,2026-05-08,252,0.326279319802548,0.10093018561559733,2.8494768956378707,-0.05294657381077894,0.326279319802548,2025-10-22,2025-12-16,75,19,229,0.9087301587301587,0.48093687015349096,0.640343797294379,0.0,1.0,0.3745503864041623,0.640343797294379,31.556076610670154,0.031556076610670156,4,2,38,27
