candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,trades,cost_total,turnover_total,avg_exposure_effective,avg_final_exposure,avg_nav_defense_scale_effective,avg_nav_defense_scale_next,defense_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,False,,,1.0,nav_off,full,Full,2016-12-30,2007-01-04,2432.0,0.09107055618352877,0.16321169161939078,-0.2253102589802246,0.6158540071712479,665.0,0.36568963957639333,365.68963957639323,0.5470805921052632,0.5474917763157895,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,False,,,1.0,nav_off,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,False,,,1.0,nav_off,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09245507787488294,0.15509453734585252,-0.1839885043731041,0.6480553022527128,348.0,0.19660026810774472,196.60026810774474,0.5529761904761905,0.5531746031746032,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,False,,,1.0,nav_off,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07474367735673071,0.15464009419646652,-0.1839885043731042,0.5438781090954538,189.0,0.1123926915734666,112.39269157346658,0.5297619047619048,0.5300925925925926,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,False,,,1.0,nav_off,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.03246050816714141,0.12595249507758177,-0.1839885043731052,0.31696480355588386,43.0,0.03151235271850951,31.512352718509504,0.5099206349206349,0.5138888888888888,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.004735858855112962,0.10983363385197706,-0.3034900749115096,0.09791356684687344,314.0,0.17585389097728452,175.8538909772845,0.228515625,0.228515625,0.3852796052631579,0.3848684210526316,0.6147203947368421,14.0,13.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.018079247830312006,0.11450449912808214,-0.22295926230644914,0.21381310801183548,187.0,0.10846351467971037,108.46351467971036,0.25337301587301586,0.25277777777777777,0.44206349206349205,0.44126984126984126,0.557936507936508,7.0,6.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.04618185552919907,0.09704981449300247,-0.08742375523283308,0.5137433544493462,55.0,0.04002851550677897,40.028515506778966,0.15641534391534392,0.15641534391534392,0.3029100529100529,0.3029100529100529,0.6970899470899471,2.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.017811974418587173,0.09119006694524093,-0.07692923689219089,0.23932091908731876,16.0,0.010992630667472577,10.992630667472579,0.17559523809523808,0.17559523809523808,0.1865079365079365,0.1865079365079365,0.8134920634920635,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.026992501508816824,0.11379838648502458,-0.23084769605082733,0.29094879158355963,1146.0,0.22393957660529998,223.93957660529995,0.30815686677631576,0.30825966282894735,0.5389597039473685,0.5386513157894737,0.6147203947368421,14.0,13.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.03719430827723347,0.11735451537244991,-0.20111365961575922,0.36996599086661797,588.0,0.13076168808383554,130.76168808383554,0.3282738095238095,0.32787698412698413,0.5815476190476191,0.580952380952381,0.557936507936508,7.0,6.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05461615361504468,0.10152705938038856,-0.10445440156250518,0.5745778099146663,361.0,0.05829290345195107,58.29290345195106,0.24975198412698413,0.24983465608465608,0.4771825396825397,0.4771825396825397,0.6970899470899471,2.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.022228545671450606,0.09366531282007175,-0.10445440156250485,0.2816760984676942,104.0,0.01605913906677357,16.05913906677357,0.2591765873015873,0.2601686507936508,0.3898809523809524,0.3898809523809524,0.8134920634920635,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p50,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.5,nav_enter_0p075_exit_0p03_scale_0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.048851939520551335,0.1251976111884173,-0.1921381500240158,0.4436105641497322,1146.0,0.27143330212681277,271.43330212681275,0.3877981085526316,0.38800370065789475,0.692639802631579,0.6924342105263158,0.6147203947368421,14.0,13.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p50,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.5,nav_enter_0p075_exit_0p03_scale_0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p50,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.5,nav_enter_0p075_exit_0p03_scale_0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.056002156465652986,0.12576121778280877,-0.19213815002401602,0.49631149942654595,588.0,0.15279792451937318,152.79792451937317,0.4031746031746032,0.4029761904761905,0.721031746031746,0.7206349206349206,0.557936507936508,7.0,6.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p50,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.5,nav_enter_0p075_exit_0p03_scale_0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06223405255957215,0.114102726888868,-0.13139981398133682,0.5862809056664416,361.0,0.0763564747109901,76.3564747109901,0.34308862433862436,0.34325396825396826,0.6514550264550265,0.6514550264550265,0.6970899470899471,2.0,2.0,
