candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,ann_return_full,max_dd_full,reason_full,trades_full,cost_total_full,turnover_total_full,avg_exposure_effective_full,avg_final_exposure_full,avg_nav_defense_scale_effective_full,avg_nav_defense_scale_next_full,defense_day_ratio_full,trigger_count_full,recovery_count_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,avg_exposure_effective_last_10y,avg_final_exposure_last_10y,avg_nav_defense_scale_effective_last_10y,avg_nav_defense_scale_next_last_10y,defense_day_ratio_last_10y,trigger_count_last_10y,recovery_count_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,avg_exposure_effective_last_5y,avg_final_exposure_last_5y,avg_nav_defense_scale_effective_last_5y,avg_nav_defense_scale_next_last_5y,defense_day_ratio_last_5y,trigger_count_last_5y,recovery_count_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,avg_exposure_effective_last_3y,avg_final_exposure_last_3y,avg_nav_defense_scale_effective_last_3y,avg_nav_defense_scale_next_last_3y,defense_day_ratio_last_3y,trigger_count_last_3y,recovery_count_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,avg_exposure_effective_last_1y,avg_final_exposure_last_1y,avg_nav_defense_scale_effective_last_1y,avg_nav_defense_scale_next_last_1y,defense_day_ratio_last_1y,trigger_count_last_1y,recovery_count_last_1y,ann_delta_full_pp,mdd_improve_full_pp,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,material_defense,layer7_pass,pass_reason
lb_25_r2_0p20_buf_1p05_entry_0p50_decay_off_nav_off,lb_25_r2_0p20_buf_1p05_entry_0p50_decay_off_nav_off,original_same_stage_no_decay,25,0.2,0p20,1.05,1p05,0.5,0p50,False,,,,1.0,decay_off,False,,,1.0,nav_off,0.08028531561802899,-0.2816295381935455,,471.0,0.41000000000000003,410.0,0.6634457236842105,0.6638569078947368,1.0,1.0,0.0,0.0,0.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.08269728081187422,-0.28162953819354564,,258.0,0.22650000000000003,226.5,0.6876984126984127,0.6880952380952381,1.0,1.0,0.0,0.0,0.0,0.03257560198967879,-0.2816295381935464,,157.0,0.135,135.0,0.7162698412698413,0.7162698412698413,1.0,1.0,0.0,0.0,0.0,-0.17994267077228587,-0.2703663656145022,,60.0,0.05,50.0,0.7400793650793651,0.7440476190476191,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no NAV defense
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,False,,,1.0,nav_off,0.08386144731625,-0.28526425900721497,,423.0,0.386,386.0,0.6124588815789473,0.6128700657894737,1.0,1.0,0.0,0.0,0.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.08773121822902485,-0.23341868050070025,,224.0,0.20875,208.75,0.6291666666666667,0.6293650793650793,1.0,1.0,0.0,0.0,0.0,0.06425237590416955,-0.23341868050070025,,135.0,0.12325,123.25,0.6150793650793651,0.6154100529100529,1.0,1.0,0.0,0.0,0.0,-0.07568688118557465,-0.23341868050070091,,43.0,0.0395,39.5,0.5942460317460317,0.5982142857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no NAV defense
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p00,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.0,nav_enter_0p075_exit_0p03_scale_0p00,-0.013703219325730709,-0.2714562317372843,,255.0,0.17273948679835996,172.73948679835996,0.23817845394736842,0.23817845394736842,0.3692434210526316,0.36883223684210525,0.6307565789473685,16.0,15.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,-0.006784583764409935,-0.2714562317372854,,146.0,0.11038041305842947,110.38041305842944,0.29484126984126985,0.29424603174603176,0.44206349206349205,0.44126984126984126,0.557936507936508,10.0,9.0,-0.02837225763152984,-0.18508757778407203,,69.0,0.05652849727440806,56.52849727440805,0.2619047619047619,0.2619047619047619,0.36507936507936506,0.36507936507936506,0.6349206349206349,6.0,6.0,-0.014035004547766294,-0.07799691101751449,,11.0,0.009508928754504022,9.508928754504021,0.16468253968253968,0.16468253968253968,0.17063492063492064,0.17063492063492064,0.8293650793650794,1.0,1.0,-9.756466664198072,1.380802726993069,,,-9.451580199343478,-3.8037551236585143,-9.262463353569938,4.833110271662822,6.165187663780836,15.542176948318643,3,False,True,True,False,full_mdd=True;dd_windows=3;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p25,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.25,nav_enter_0p075_exit_0p03_scale_0p25,0.011296776980389556,-0.22527676299218347,,1218.0,0.22726223322097322,227.2622332209732,0.33174856085526316,0.33185135690789475,0.5269325657894737,0.526624177631579,0.6307565789473685,16.0,15.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.016973566981777433,-0.22527676299218224,,588.0,0.13547388904408444,135.47388904408442,0.37842261904761904,0.37802579365079364,0.5815476190476191,0.580952380952381,0.557936507936508,10.0,9.0,-0.004886693888528693,-0.17704129365750276,,353.0,0.07351070197335927,73.51070197335926,0.3501984126984127,0.35028108465608465,0.5238095238095238,0.5238095238095238,0.6349206349206349,6.0,6.0,-0.028810288229353054,-0.11884060743257863,,127.0,0.017082986148618983,17.082986148618982,0.2720734126984127,0.27306547619047616,0.37797619047619047,0.37797619047619047,0.8293650793650794,1.0,1.0,-7.256467033586045,5.9987496015031505,,,-7.075765124724742,0.8141917508518004,-6.913906979269823,5.637738684319748,4.68765929562216,11.457807306812228,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p50,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.5,nav_enter_0p075_exit_0p03_scale_0p50,0.03592714542829345,-0.21316976153472522,,1218.0,0.28099558912853595,280.9955891285359,0.4253186677631579,0.4255242598684211,0.6846217105263158,0.6844161184210527,0.6307565789473685,16.0,15.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.04065715838582373,-0.17873761473504235,,588.0,0.16028103135156116,160.28103135156113,0.4620039682539683,0.4618055555555556,0.721031746031746,0.7206349206349206,0.557936507936508,10.0,9.0,0.018399496942335336,-0.17873761473504335,,353.0,0.09031510854235988,90.31510854235988,0.4384920634920635,0.4386574074074074,0.6825396825396826,0.6825396825396826,0.6349206349206349,6.0,6.0,-0.044025940257301444,-0.15834278259047307,,127.0,0.02460656122144217,24.606561221442167,0.3794642857142857,0.3814484126984127,0.5853174603174603,0.5853174603174603,0.8293650793650794,1.0,1.0,-4.793430188795655,7.209449747248975,,,-4.707405984320112,5.4681065765657895,-4.585287896183421,5.46810657656569,3.1660940928273207,7.5075897910227845,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,0.06012970149402075,-0.24907611729007328,,1218.0,0.33395134387157577,333.9513438715758,0.5188887746710527,0.5191971628289473,0.8423108552631579,0.8422080592105263,0.6307565789473685,16.0,15.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.06423329667596755,-0.196526355512454,,588.0,0.18480268324108406,184.80268324108403,0.5455853174603175,0.5455853174603175,0.8605158730158731,0.8603174603174604,0.557936507936508,10.0,9.0,0.04144353103403331,-0.19652635551245368,,353.0,0.10694230890042485,106.94230890042485,0.5267857142857143,0.5270337301587301,0.8412698412698413,0.8412698412698413,0.6349206349206349,6.0,6.0,-0.05965995405948543,-0.196526355512454,,127.0,0.03207987794716443,32.079877947164434,0.4868551587301587,0.4898313492063492,0.7926587301587301,0.7926587301587301,0.8293650793650794,1.0,1.0,-2.3731745822229255,3.6188141717141686,,,-2.34979215530573,3.689232498824624,-2.2808844870136236,3.689232498824657,1.6026927126089219,3.6892324988246905,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,0.008553810008702367,-0.27936897254611515,,276.0,0.1907501886655274,190.75018866552742,0.26058799342105265,0.26058799342105265,0.3926809210526316,0.39226973684210525,0.6073190789473685,19.0,18.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.024454387833571678,-0.21627661262593223,,155.0,0.11838304546316639,118.38304546316638,0.32162698412698415,0.32103174603174606,0.46984126984126984,0.46904761904761905,0.5301587301587302,11.0,10.0,0.024334914992581336,-0.14575935780945493,,74.0,0.060531016112203156,60.53101611220316,0.294973544973545,0.294973544973545,0.3994708994708995,0.3994708994708995,0.6005291005291006,6.0,6.0,0.016204614673294593,-0.07799691101751449,,11.0,0.00950892875450402,9.50892875450402,0.17261904761904762,0.17261904761904762,0.17857142857142858,0.17857142857142858,0.8214285714285714,1.0,1.0,-7.530763730754764,0.5895286461099825,,,-6.327683039545318,1.7142067874768019,-3.991746091158821,8.765932269124532,9.189149585886923,15.542176948318643,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,0.0281952957104028,-0.2176492624256271,,1182.0,0.24063789680710646,240.63789680710647,0.3485557154605263,0.3486585115131579,0.5445106907894737,0.544202302631579,0.6073190789473685,19.0,18.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.04075906959133624,-0.17816885383511105,,563.0,0.14142864102661842,141.42864102661844,0.3985119047619048,0.39811507936507934,0.6023809523809524,0.6017857142857143,0.5301587301587302,11.0,10.0,0.03522546848887731,-0.14008233743655496,,333.0,0.07648606612567571,76.4860661256757,0.375,0.375082671957672,0.5496031746031746,0.5496031746031746,0.6005291005291006,6.0,6.0,-0.006607878990265936,-0.1188406074325784,,125.0,0.017078227506867102,17.0782275068671,0.27802579365079366,0.27901785714285715,0.38392857142857145,0.38392857142857145,0.8214285714285714,1.0,1.0,-5.56661516058472,6.761499658158787,,,-4.6972148637688615,5.52498266655892,-2.9026907415292236,9.33363430641453,6.907900219530871,11.457807306812251,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p05_scale_0p50,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.05,0.5,nav_enter_0p075_exit_0p05_scale_0p50,0.04732097807567581,-0.23126784989908022,,1182.0,0.28982541980666887,289.82541980666883,0.4365234375,0.43672902960526316,0.6963404605263158,0.6961348684210527,0.6073190789473685,19.0,18.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.05674578397506713,-0.15834278259047363,,563.0,0.16421941112597696,164.21941112597693,0.4753968253968254,0.4751984126984127,0.734920634920635,0.7345238095238096,0.5301587301587302,11.0,10.0,0.045515720252722325,-0.15834278259047463,,333.0,0.0922810574988156,92.2810574988156,0.455026455026455,0.45519179894179895,0.6997354497354498,0.6997354497354498,0.6005291005291006,6.0,6.0,-0.02954535449017781,-0.15834278259047363,,125.0,0.024600240919259962,24.60024091925996,0.3834325396825397,0.3854166666666667,0.5892857142857143,0.5892857142857143,0.8214285714285714,1.0,1.0,-3.654046924057419,5.399640910813474,,,-3.098543425395772,7.507589791022662,-1.873665565144722,7.507589791022562,4.614152669539684,7.5075897910227285,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_enter_0p075_exit_0p05_scale_0p75,lb_28_r2_0p40_buf_1p00_entry_0p75_decay_off_nav_off,r2_neighbor_no_decay,28,0.4,0p40,1.0,1p00,0.75,0p75,False,,,,1.0,decay_off,True,0.075,0.05,0.75,nav_enter_0p075_exit_0p05_scale_0p75,0.06588589684607693,-0.2578166593636607,,1182.0,0.33832382514661985,338.32382514661987,0.5244911595394737,0.5247995476973685,0.8481702302631579,0.8480674342105263,0.6073190789473685,19.0,18.0,,,insufficient rows: 2432 < 2520 trading days,,,,,,,,,,,0.07239027453669378,-0.19652635551245412,,563.0,0.18675615722591674,186.75615722591672,0.5522817460317461,0.5522817460317461,0.8674603174603175,0.8672619047619048,0.5301587301587302,11.0,10.0,0.05518209878412117,-0.19652635551245368,,333.0,0.10791649806008174,107.91649806008174,0.53505291005291,0.5353009259259259,0.8498677248677249,0.8498677248677249,0.6005291005291006,6.0,6.0,-0.05258138725339678,-0.196526355512454,,125.0,0.032075155984888845,32.075155984888845,0.4888392857142857,0.49181547619047616,0.7946428571428571,0.7946428571428571,0.8214285714285714,1.0,1.0,-1.7975550470173074,2.7447599643554255,,,-1.5340943692331077,3.689232498824613,-0.9070277120048376,3.689232498824657,2.3105493932177867,3.6892324988246905,4,False,True,True,False,full_mdd=True;dd_windows=4;return_tol=False;material=True
