candidate,baseline_candidate,line_role,line_order,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,ann_return_full,max_dd_full,trades_full,cost_total_full,turnover_total_full,avg_exposure_effective_full,avg_final_exposure_full,avg_decay_multiplier_effective_full,avg_decay_multiplier_next_full,decay_day_ratio_full,trigger_count_full,recovery_count_full,reason_full,ann_return_last_10y,max_dd_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,avg_exposure_effective_last_10y,avg_final_exposure_last_10y,avg_decay_multiplier_effective_last_10y,avg_decay_multiplier_next_last_10y,decay_day_ratio_last_10y,trigger_count_last_10y,recovery_count_last_10y,reason_last_10y,ann_return_last_5y,max_dd_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,avg_exposure_effective_last_5y,avg_final_exposure_last_5y,avg_decay_multiplier_effective_last_5y,avg_decay_multiplier_next_last_5y,decay_day_ratio_last_5y,trigger_count_last_5y,recovery_count_last_5y,reason_last_5y,ann_return_last_3y,max_dd_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,avg_exposure_effective_last_3y,avg_final_exposure_last_3y,avg_decay_multiplier_effective_last_3y,avg_decay_multiplier_next_last_3y,decay_day_ratio_last_3y,trigger_count_last_3y,recovery_count_last_3y,reason_last_3y,ann_return_last_1y,max_dd_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,avg_exposure_effective_last_1y,avg_final_exposure_last_1y,avg_decay_multiplier_effective_last_1y,avg_decay_multiplier_next_last_1y,decay_day_ratio_last_1y,trigger_count_last_1y,recovery_count_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,material_decay,layer6_pass,pass_reason
lb_28_r2_none_buf_1p15_entry_0p25_decay_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,False,,,,1.0,decay_off,0.10629935262027268,-0.2947914517986966,412.0,0.366,366.0,0.780530427631579,0.7809416118421053,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.0548646186898778,-0.26219326538303145,230.0,0.20375,203.75,0.7950396825396825,0.7956349206349206,1.0,1.0,0.0,0.0,0.0,,0.05722929851938541,-0.2621932653830312,143.0,0.12625,126.25,0.8075396825396826,0.808531746031746,1.0,1.0,0.0,0.0,0.0,,-0.11112585803929553,-0.21356712846819914,49.0,0.043500000000000004,43.5,0.8184523809523809,0.8184523809523809,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no momentum decay
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.0,decay_0p45_rec_0p85_c1_scale_0p00,0.029262108900222072,-0.32242312889779223,678.0,0.3766839280892676,376.6839280892676,0.594983552631579,0.5953947368421053,0.8141447368421053,0.8141447368421053,0.18585526315789475,88.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,-0.0015186876819613948,-0.2871073353813317,371.0,0.2091170720327517,209.1170720327517,0.6244047619047619,0.625,0.8293650793650794,0.8293650793650794,0.17063492063492064,50.0,4.0,,0.013776452990234667,-0.28710733538133193,214.0,0.12544634421532497,125.44634421532496,0.6474867724867724,0.6484788359788359,0.83994708994709,0.83994708994709,0.16005291005291006,28.0,1.0,,-0.06934905962437943,-0.16570283943945396,74.0,0.04205950153622621,42.05950153622621,0.7509920634920635,0.7509920634920635,0.9325396825396826,0.9325396825396826,0.06746031746031746,9.0,0.0,,-7.703724372005061,-2.763167709909564,266.0,,,,-5.63833063718392,-2.491406999830026,141.0,-4.345284552915074,-2.4914069998300703,71.0,4.17767984149161,4.786428902874517,25.0,1,False,False,True,False,full_mdd=False;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p50,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,0.06871824991939657,-0.28898394906527125,1051.0,0.3716420903341227,371.6420903341227,0.687756990131579,0.6881681743421053,0.9070723684210527,0.9070723684210527,0.18585526315789475,88.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.027649392278540574,-0.27107997980081755,545.0,0.20648844581486211,206.48844581486213,0.7097222222222223,0.7103174603174603,0.9146825396825397,0.9146825396825397,0.17063492063492064,50.0,4.0,,0.036334418101530375,-0.2710799798008171,312.0,0.12563870722945608,125.63870722945607,0.7275132275132276,0.728505291005291,0.919973544973545,0.919973544973545,0.16005291005291006,28.0,1.0,,-0.08975427810810355,-0.18394271809353846,84.0,0.04255942518015107,42.559425180151074,0.7847222222222222,0.7847222222222222,0.9662698412698413,0.9662698412698413,0.06746031746031746,9.0,0.0,,-3.7581102700876112,0.580750273342534,639.0,,,,-2.7215226411337223,-0.8886714417786101,315.0,-2.0894880417855033,-0.8886714417785879,169.0,2.1371579931191986,2.962441037466068,35.0,2,False,True,True,False,full_mdd=True;dd_windows=2;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c1_scale_0p75,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,0.08770393557249201,-0.2826744972805302,1051.0,0.36940879990352954,369.4087999035295,0.734143708881579,0.7345548930921053,0.9535361842105263,0.9535361842105263,0.18585526315789475,88.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04145925225142544,-0.2635324560869776,545.0,0.20540105263744607,205.40105263744607,0.7523809523809524,0.7529761904761905,0.9573412698412699,0.9573412698412699,0.17063492063492064,50.0,4.0,,0.04692753616731671,-0.26353245608697684,312.0,0.1260967755351325,126.09677553513245,0.767526455026455,0.7685185185185185,0.9599867724867724,0.9599867724867724,0.16005291005291006,28.0,1.0,,-0.1003988739532421,-0.1988106227871531,84.0,0.043059859635237445,43.059859635237444,0.8015873015873016,0.8015873015873016,0.9831349206349206,0.9831349206349206,0.06746031746031746,9.0,0.0,,-1.8595417047780671,1.2116954518166412,639.0,,,,-1.340536643845236,-0.13391907039461692,315.0,-1.03017623520687,-0.1339190703945614,169.0,1.0726984086053437,1.4756505681046028,35.0,2,False,True,True,False,full_mdd=True;dd_windows=2;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c3_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,0.04343453675073139,-0.3189941578100224,652.0,0.3767165598400243,376.71655984002433,0.6600534539473685,0.6604646381578947,0.8795230263157895,0.8795230263157895,0.12047697368421052,50.0,4.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.016042339998656896,-0.3180642708885064,355.0,0.2101436503578535,210.14365035785352,0.6934523809523809,0.694047619047619,0.8984126984126984,0.8984126984126984,0.10158730158730159,26.0,3.0,,-0.010311202802835595,-0.3180642708885062,207.0,0.12847292254042678,128.47292254042677,0.7109788359788359,0.7119708994708994,0.9034391534391535,0.9034391534391535,0.09656084656084656,15.0,1.0,,-0.11678933749586107,-0.19972661609415454,70.0,0.043561962546954595,43.56196254695459,0.8065476190476191,0.8065476190476191,0.9880952380952381,0.9880952380952381,0.011904761904761904,3.0,0.0,,-6.286481586954129,-2.420270601132579,240.0,,,,-3.88222786912209,-5.587100550547497,125.0,-6.7540501322221,-5.587100550547497,64.0,-0.5663479456565534,1.38405123740446,21.0,1,False,False,True,False,full_mdd=False;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c3_scale_0p50,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,0.0754132640145233,-0.2978527537875103,903.0,0.3723912151504984,372.39121515049834,0.7202919407894737,0.720703125,0.9397615131578947,0.9397615131578947,0.12047697368421052,50.0,4.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.036002693260371865,-0.2875796237312377,462.0,0.20736379952579156,207.36379952579156,0.7442460317460318,0.7448412698412699,0.9492063492063492,0.9492063492063492,0.10158730158730159,26.0,3.0,,0.02323195106299547,-0.28757962373123735,267.0,0.12758477306736513,127.58477306736512,0.7592592592592593,0.7602513227513228,0.9517195767195767,0.9517195767195767,0.09656084656084656,15.0,1.0,,-0.11390223262959842,-0.20666173181588132,71.0,0.043563545037855374,43.56354503785538,0.8125,0.8125,0.9940476190476191,0.9940476190476191,0.011904761904761904,3.0,0.0,,-3.0886088605749373,-0.3061301988813714,491.0,,,,-1.8861925429505932,-2.538635834820624,232.0,-3.3997347456389937,-2.538635834820613,124.0,-0.2776374590302888,0.6905396652317819,22.0,1,False,False,True,False,full_mdd=False;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p85_c3_scale_0p75,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,0.09097097238531049,-0.2873026259974508,903.0,0.3697210955936185,369.7210955936185,0.7504111842105263,0.7508223684210527,0.9698807565789473,0.9698807565789473,0.12047697368421052,50.0,4.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04554536996254588,-0.2747679886056029,462.0,0.20580812867088838,205.80812867088835,0.7696428571428572,0.7702380952380953,0.9746031746031746,0.9746031746031746,0.10158730158730159,26.0,3.0,,0.04014585264127146,-0.2747679886056029,267.0,0.1270565788602019,127.05657886020191,0.7833994708994709,0.7843915343915344,0.9758597883597884,0.9758597883597884,0.09656084656084656,15.0,1.0,,-0.11252080741919113,-0.2101320419227234,71.0,0.04356311219584921,43.563112195849214,0.8154761904761905,0.8154761904761905,0.9970238095238095,0.9970238095238095,0.011904761904761904,3.0,0.0,,-1.5328380234962191,0.7488825801245769,491.0,,,,-0.9319248727331919,-1.2574723222571471,232.0,-1.7083445878113945,-1.2574723222571693,124.0,-0.13949493798955936,0.3435086545475752,22.0,2,False,True,True,False,full_mdd=True;dd_windows=2;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p95_c1_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,0.029905851388288385,-0.32242312889779223,677.0,0.3766839280892676,376.6839280892676,0.5912828947368421,0.5916940789473685,0.8104440789473685,0.8104440789473685,0.18955592105263158,87.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.004037948383802004,-0.28710733538133226,370.0,0.2091170720327517,209.1170720327517,0.6236111111111111,0.6242063492063492,0.8285714285714286,0.8285714285714286,0.17142857142857143,49.0,4.0,,0.018107439567133454,-0.28710733538133226,214.0,0.12544634421532497,125.44634421532496,0.6461640211640212,0.6471560846560847,0.8386243386243386,0.8386243386243386,0.16137566137566137,28.0,1.0,,-0.06934905962437943,-0.16570283943945396,74.0,0.04205950153622621,42.05950153622621,0.7509920634920635,0.7509920634920635,0.9325396825396826,0.9325396825396826,0.06746031746031746,9.0,0.0,,-7.6393501231984295,-2.763167709909564,265.0,,,,-5.082667030607579,-2.4914069998300814,140.0,-3.9121858952251953,-2.4914069998301036,71.0,4.17767984149161,4.786428902874517,25.0,1,False,False,True,False,full_mdd=False;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p95_c1_scale_0p50,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,0.06908901725105188,-0.28898394906527125,1060.0,0.3716948876241467,371.69488762414665,0.6859066611842105,0.6863178453947368,0.9052220394736842,0.9052220394736842,0.18955592105263158,87.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.030505158532717402,-0.27107997980081644,546.0,0.20651359955195128,206.5135995519513,0.7093253968253969,0.709920634920635,0.9142857142857143,0.9142857142857143,0.17142857142857143,49.0,4.0,,0.03854649386166442,-0.2710799798008169,313.0,0.12565696181584035,125.65696181584036,0.7268518518518519,0.7278439153439153,0.9193121693121693,0.9193121693121693,0.16137566137566137,28.0,1.0,,-0.08975427810810355,-0.18394271809353846,84.0,0.04255942518015107,42.559425180151074,0.7847222222222222,0.7847222222222222,0.9662698412698413,0.9662698412698413,0.06746031746031746,9.0,0.0,,-3.7210335369220804,0.580750273342534,648.0,,,,-2.4359460157160395,-0.8886714417784991,316.0,-1.8682804657720986,-0.8886714417785657,170.0,2.1371579931191986,2.962441037466068,35.0,2,False,True,True,False,full_mdd=True;dd_windows=2;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p95_c1_scale_0p75,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,0.0879018605044033,-0.2826744972805302,1060.0,0.36944824673583354,369.44824673583344,0.7332185444078947,0.733629728618421,0.9526110197368421,0.9526110197368421,0.18955592105263158,87.0,7.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.04290541565407269,-0.2635324560869772,546.0,0.20541979663074733,205.41979663074736,0.7521825396825397,0.7527777777777778,0.9571428571428572,0.9571428571428572,0.17142857142857143,49.0,4.0,,0.04804451382115382,-0.2635324560869762,313.0,0.1261103897800527,126.1103897800527,0.7671957671957672,0.7681878306878307,0.9596560846560847,0.9596560846560847,0.16137566137566137,28.0,1.0,,-0.1003988739532421,-0.1988106227871531,84.0,0.043059859635237445,43.059859635237444,0.8015873015873016,0.8015873015873016,0.9831349206349206,0.9831349206349206,0.06746031746031746,9.0,0.0,,-1.8397492115869385,1.2116954518166412,648.0,,,,-1.195920303580511,-0.13391907039457251,316.0,-0.9184784698231585,-0.1339190703944948,170.0,1.0726984086053437,1.4756505681046028,35.0,2,False,True,True,False,full_mdd=True;dd_windows=2;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_0p45_rec_0p95_c3_scale_0p00,lb_28_r2_none_buf_1p15_entry_0p25_decay_off,main_line_r2_removed,0,28,,none,0.0,1.15,1p15,0.25,0p25,True,0.45,0.95,3.0,0.0,decay_0p45_rec_0p95_c3_scale_0p00,0.04274317667769556,-0.3189941578100224,652.0,0.3767165598400243,376.71655984002433,0.6559416118421053,0.6563527960526315,0.8754111842105263,0.8754111842105263,0.12458881578947369,50.0,4.0,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.016899448561996655,-0.3180642708885064,355.0,0.2101436503578535,210.14365035785352,0.6910714285714286,0.6916666666666667,0.8960317460317461,0.8960317460317461,0.10396825396825397,26.0,3.0,,-0.006083121865144703,-0.31806427088850686,207.0,0.12847292254042678,128.47292254042677,0.7096560846560847,0.7106481481481481,0.9021164021164021,0.9021164021164021,0.09788359788359788,15.0,1.0,,-0.11678933749586107,-0.19972661609415454,70.0,0.043561962546954595,43.56196254695459,0.8065476190476191,0.8065476190476191,0.9880952380952381,0.9880952380952381,0.011904761904761904,3.0,0.0,,-6.355617594257712,-2.420270601132579,240.0,,,,-3.7965170127881143,-5.587100550547497,125.0,-6.331242038453011,-5.5871005505475635,64.0,-0.5663479456565534,1.38405123740446,21.0,1,False,False,True,False,full_mdd=False;dd_windows=1;return_tol=False;material=True
