candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,ann_return_full,max_dd_full,reason_full,trades_full,buffer_blocked_days_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,trades_last_10y,buffer_blocked_days_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,trades_last_5y,buffer_blocked_days_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,trades_last_3y,buffer_blocked_days_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,trades_last_1y,buffer_blocked_days_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer3_pass,pass_reason
lb_25_r2_0p20_buf_1p00,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.0,1p00,0.11152789826034915,-0.3330619799357861,,297.0,0.0,,,insufficient rows: 2432 < 2520 trading days,,,0.10726857404323176,-0.3330619799357861,,158.0,0.0,0.023834477075284966,-0.33306197993578635,,98.0,0.0,-0.2182970790274068,-0.2959453029211836,,37.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no switch buffer
lb_25_r2_0p20_buf_1p02,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.02,1p02,0.11452538942748247,-0.33306197993578557,,295.0,10.0,,,insufficient rows: 2432 < 2520 trading days,,,0.10751085379935033,-0.33306197993578524,,158.0,1.0,0.02420787708698957,-0.33306197993578546,,98.0,1.0,-0.21829707902740636,-0.2959453029211834,,37.0,0.0,0.2997491167133326,5.551115123125783e-14,-2.0,,,,0.024227975611856856,8.881784197001252e-14,0.0,0.037340001170460546,8.881784197001252e-14,0.0,4.440892098500626e-14,2.220446049250313e-14,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
lb_25_r2_0p20_buf_1p03,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.03,1p03,0.10826753512738208,-0.33306197993578546,,294.0,16.0,,,insufficient rows: 2432 < 2520 trading days,,,0.10180642189461908,-0.333061979935786,,158.0,4.0,0.02420787708698957,-0.3330619799357851,,98.0,1.0,-0.21829707902740603,-0.29594530292118326,,37.0,0.0,-0.326036313296707,6.661338147750939e-14,-3.0,,,,-0.5462152148612676,1.1102230246251565e-14,0.0,0.037340001170460546,1.2212453270876722e-13,0.0,7.771561172376096e-14,3.3306690738754696e-14,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
lb_25_r2_0p20_buf_1p05,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.05,1p05,0.0970575890823564,-0.34544948386263197,,289.0,24.0,,,insufficient rows: 2432 < 2520 trading days,,,0.08362067887654079,-0.3454494838626325,,158.0,9.0,-0.005144571949816545,-0.34544948386263263,,98.0,5.0,-0.23281619131649645,-0.30902220071738196,,37.0,2.0,-1.4470309177992746,-1.2387503926845844,-8.0,,,,-2.364789516669097,-1.23875039268464,0.0,-2.897904902510151,-1.2387503926846288,0.0,-1.4519112289089642,-1.3076897796198361,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p08,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.08,1p08,0.09536864535876766,-0.34061506852792955,,289.0,42.0,,,insufficient rows: 2432 < 2520 trading days,,,0.0802369466787003,-0.3406150685279288,,158.0,17.0,-0.003657858266103986,-0.34061506852792867,,98.0,10.0,-0.2271498827921027,-0.30391873874395925,,37.0,4.0,-1.615925290158149,-0.7553088592143431,-8.0,,,,-2.7031627364531463,-0.7553088592142654,0.0,-2.749233534138895,-0.7553088592142321,0.0,-0.8852803764695882,-0.7973435822775654,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p10,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.1,1p10,0.0944431622127282,-0.34061506852792856,,287.0,52.0,,,insufficient rows: 2432 < 2520 trading days,,,0.07554951011877531,-0.3406150685279289,,157.0,22.0,-0.003208549056197829,-0.34061506852792856,,98.0,11.0,-0.2271498827921027,-0.30391873874395947,,37.0,4.0,-1.7084736047620952,-0.7553088592142432,-10.0,,,,-3.1719063924456448,-0.7553088592142765,-1.0,-2.7043026131482795,-0.755308859214221,0.0,-0.8852803764695882,-0.7973435822775876,0.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_25_r2_0p20_buf_1p15,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.15,1p15,0.11207717226011593,-0.3299877998416092,,280.0,82.0,,,insufficient rows: 2432 < 2520 trading days,,,0.09486465341912931,-0.32998779984161064,,155.0,34.0,0.029999622404155435,-0.32998779984160953,,96.0,17.0,-0.21469390228996132,-0.29270003743944895,,37.0,5.0,0.054927399976678615,0.3074180094176926,-17.0,,,,-1.240392062410245,0.30741800941754827,-3.0,0.6165145328870469,0.3074180094176815,-2.0,0.36031767374454793,0.32452654817346493,0.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_25_r2_0p20_buf_1p20,lb_25_r2_0p20_buf_1p00,original_layer3,25,0.2,0p20,1.2,1p20,0.10943008729603787,-0.3291701499529627,,278.0,105.0,,,insufficient rows: 2432 < 2520 trading days,,,0.09484042093141509,-0.32917014995296234,,155.0,44.0,0.029281157249482215,-0.329170149952963,,96.0,23.0,-0.21373555340736727,-0.2918368834021181,,37.0,6.0,-0.20978109643112752,0.3891829982823447,-19.0,,,,-1.2428153111816664,0.389182998282378,-3.0,0.5446680174197249,0.3891829982823336,-2.0,0.45615256200395304,0.4108419519065487,0.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p40_buf_1p00,lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,0.08864463263277589,-0.3135323979779002,,264.0,0.0,,,insufficient rows: 2432 < 2520 trading days,,,0.08775742953319421,-0.2650377196374192,,139.0,0.0,0.04877296328426861,-0.26503771963741884,,86.0,0.0,-0.12156314512249988,-0.26503771963741884,,28.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/no switch buffer
lb_28_r2_0p40_buf_1p02,lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.02,1p02,0.08917544423037205,-0.32562325661334457,,259.0,10.0,,,insufficient rows: 2432 < 2520 trading days,,,0.09167633866305658,-0.2650377196374195,,136.0,5.0,0.05111012339483367,-0.2650377196374192,,86.0,2.0,-0.12156314512250166,-0.26503771963741984,,28.0,0.0,0.053081159759615915,-1.2090858635444346,-5.0,,,,0.3918909129862369,-3.3306690738754696e-14,-3.0,0.2337160110565062,-3.3306690738754696e-14,0.0,-1.7763568394002505e-13,-9.992007221626409e-14,0.0,0,True,False,False,full_mdd=False;dd_windows=0;return_tol=True
