check,metric,max_abs_diff
lookback_25_vs_accepted_pure_base,return,0.0
lookback_25_vs_accepted_pure_base,nav,3.552713678800501e-15
lookback_25_vs_accepted_pure_base,turnover,0.0
lookback_25_vs_accepted_pure_base,fraction_before,0.0
lookback_25_vs_accepted_pure_base,position,0.0
lookback_25_runner_vs_poe,return,9.974659986866641e-17
lookback_25_runner_vs_poe,nav,7.105427357601002e-15
lookback_25_runner_vs_poe,turnover,0.0
lookback_25_runner_vs_poe,fraction_before,0.0
lookback_25_runner_vs_poe,position,0.0
