candidate,score_min,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cash_days_full,cash_days_last_10y,cash_days_last_1y,cash_days_last_3y,cash_days_last_5y,trade_days_full,trade_days_last_10y,trade_days_last_1y,trade_days_last_3y,trade_days_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_current_full,max_dd_delta_vs_current_full,ann_return_delta_vs_current_last_10y,max_dd_delta_vs_current_last_10y,ann_return_delta_vs_current_last_5y,max_dd_delta_vs_current_last_5y,ann_return_delta_vs_current_last_3y,max_dd_delta_vs_current_last_3y,ann_return_delta_vs_current_last_1y,max_dd_delta_vs_current_last_1y,decision_hint,stability_label
score_min_0,0,0.2304516411332378,0.34170002754532525,0.3335966024152561,0.6104951753386827,0.4839680213198021,0.24371634664376826,0.24090591081288873,0.3138489225670585,0.28875082988023815,0.26626305032071723,0.9722486786218211,1.3398950386378166,1.0743488348190062,1.7930810447278684,1.6141132068788797,-0.3646693805451159,-0.21482886172980187,-0.17184869163190508,-0.17184869163190497,-0.21482886172980253,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,378,63,7,27,37,384,293,45,102,158,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,score_min_scan,pending_review
score_min_0p2,0.2,0.2323461758855252,0.32658136778218516,0.29862236507245665,0.5945378916678266,0.46913717054450577,0.23797505627216284,0.2368968924620449,0.31265562678657577,0.28773325410012174,0.2646119910600641,0.9963662914035262,1.310630982459957,0.9921540535471701,1.763720808704638,1.584503419605773,-0.3408653103093181,-0.22075513937794278,-0.17184869163190508,-0.1718486916319043,-0.22075513937794278,0.8261598658468418,0.9257936507936508,0.9444444444444444,0.9417989417989417,0.9396825396825397,0.8261598658468418,0.9257936507936508,0.9444444444444444,0.9417989417989417,0.9396825396825397,622,187,14,44,76,396,307,47,104,164,0.1864169927333706,0.21825396825396826,0.3492063492063492,0.2619047619047619,0.24126984126984127,0.667,0.55,0.08800000000000001,0.198,0.304,0.0018945347522874023,0.02380407023579778,-0.015118659763140085,-0.00592627764814091,-0.014830850775296334,-0.0059262776481402435,-0.015957283670856137,6.661338147750939e-16,-0.034974237342799475,0.0,score_min_scan,pending_review
score_min_0p3,0.3,0.246648741663557,0.3318888235618438,0.3213591048195745,0.6067720619860417,0.4621576162896104,0.23558515964153517,0.23470695101341774,0.31019162761140084,0.28662232959121775,0.2630587869567838,1.0530775174246514,1.337671457368923,1.053537211291455,1.7961435878501144,1.5741531398780175,-0.33514781681297745,-0.22782565069233407,-0.18747774061383682,-0.18747774061383715,-0.22782565069233418,0.7847959754052544,0.8861111111111111,0.9325396825396826,0.9325396825396826,0.9126984126984127,0.7847959754052544,0.8861111111111111,0.9325396825396826,0.9325396825396826,0.9126984126984127,770,287,17,51,110,405,319,48,104,171,0.1825041922861934,0.21666666666666667,0.3492063492063492,0.25925925925925924,0.2396825396825397,0.653,0.546,0.08800000000000001,0.196,0.30200000000000005,0.016197100530319197,0.029521563732138434,-0.009811203983481454,-0.012996788962532202,-0.021810405030191715,-0.012996788962531647,-0.003723113352640972,-0.01562904898193218,-0.012237497595681601,-0.015629048981931737,score_min_scan,pending_review
score_min_0p4,0.4,0.25499174523063917,0.32519520457284656,0.24653554827838287,0.575968430321093,0.48354883083466826,0.22934261593757238,0.2309027756614254,0.3041359000368822,0.2838603959711023,0.2589619609256255,1.104494398842187,1.3340207108180147,0.876541850388892,1.7425279541495957,1.6510721096078547,-0.27696175482392893,-0.21590442078910876,-0.19496419138314292,-0.1949641913831427,-0.21590442078910888,0.742873113471213,0.8424603174603175,0.876984126984127,0.9034391534391535,0.873015873015873,0.742873113471213,0.8424603174603175,0.876984126984127,0.9034391534391535,0.873015873015873,920,397,31,73,160,401,319,52,110,171,0.17691447736165455,0.2111111111111111,0.3492063492063492,0.2566137566137566,0.23174603174603176,0.633,0.532,0.088,0.194,0.29200000000000004,0.024540104097401372,0.08770762572118695,-0.016504822972478683,-0.0010755590593068964,-0.0004191904851338357,-0.0010755590593063413,-0.03452674501758968,-0.023115499751237722,-0.08706105413687326,-0.023115499751237834,score_min_scan,pending_review
score_min_0p5,0.5,0.26432138780255254,0.33271988245815676,0.3844914818306906,0.6082243105222349,0.48148645853008576,0.22458740748758008,0.2259494454374745,0.3002254888767605,0.28160590333884095,0.25379635261785477,1.1561323457415855,1.3834145298374418,1.2340056410274545,1.8262839307063023,1.6741164121744851,-0.27402299660125273,-0.21416088101375685,-0.15868919725725517,-0.16179995365228428,-0.19719185006594409,0.698993851313583,0.794047619047619,0.8373015873015873,0.8756613756613757,0.8428571428571429,0.698993851313583,0.794047619047619,0.8373015873015873,0.8756613756613757,0.8428571428571429,1077,519,41,94,198,391,312,45,105,159,0.1679709334823924,0.19960317460317462,0.30952380952380953,0.24074074074074073,0.21428571428571427,0.601,0.503,0.078,0.18200000000000002,0.27,0.03386974666931475,0.09064638394386315,-0.00898014508716849,0.0006679807160450135,-0.0024815627897163406,0.01763701166385845,-0.002270864816447782,0.010048737979620692,0.05089487941543447,0.013159494374649916,score_min_scan,pending_review
score_min_0p6,0.6,0.2618549720255976,0.33672459782488917,0.413554256445009,0.5834958494998419,0.4871809411417072,0.2207876260809911,0.22268823921439274,0.29830390359863457,0.27900780826490684,0.25058538399274183,1.1633730095723684,1.4138699179307943,1.3097588650878462,1.7850271103452087,1.7076605798411715,-0.27635397977105747,-0.20104049699574578,-0.15868919725725594,-0.15868919725725594,-0.1641817592295507,0.6498043599776412,0.7376984126984127,0.8134920634920635,0.8373015873015873,0.8071428571428572,0.6498043599776412,0.7376984126984127,0.8134920634920635,0.8373015873015873,0.8071428571428572,1253,661,47,123,243,393,315,47,113,167,0.16294019005030744,0.19404761904761905,0.30952380952380953,0.24338624338624337,0.2126984126984127,0.583,0.48900000000000005,0.078,0.18400000000000002,0.268,0.031403330892359804,0.08831540077405842,-0.004975429720436075,0.013788364734056091,0.0032129198219050803,0.05064710250025184,-0.026999325838840793,0.013159494374649028,0.07995765402975286,0.013159494374649139,score_min_scan,pending_review
score_min_0p7,0.7,0.22049912855629916,0.27327568617470166,0.4374247609455675,0.565755610128649,0.44200298991789655,0.21667883234383373,0.21814027696705723,0.29800373923728785,0.27750717408044084,0.24676768543775143,1.027392266934356,1.215636395748435,1.3670587972072814,1.7525024426296067,1.60507402979356,-0.27666833512302447,-0.19787164464330642,-0.15868919725725517,-0.15868919725725572,-0.1588055698592442,0.6011738401341532,0.6817460317460318,0.8055555555555556,0.8055555555555556,0.7682539682539683,0.6011738401341532,0.6817460317460318,0.8055555555555556,0.8055555555555556,0.7682539682539683,1427,802,49,147,292,398,315,45,109,170,0.16070430408049188,0.18928571428571428,0.30158730158730157,0.23544973544973544,0.2126984126984127,0.5750000000000001,0.47700000000000004,0.076,0.17800000000000002,0.268,-0.009952512576938632,0.08800104542209142,-0.06842434137062359,0.016957217086495446,-0.04196503140190555,0.05602329187055832,-0.04473956521003375,0.01315949437464925,0.10382815853031135,0.013159494374649916,score_min_scan,pending_review
score_min_0p8,0.8,0.18827040167751607,0.2264823171875674,0.3937022403706214,0.5250345939883916,0.3791159987391468,0.21313940607634035,0.2141718376832839,0.2961602769378013,0.2743030191476676,0.24306911171773907,0.9152478544716942,1.0592004347130302,1.269272875256378,1.6735318155216587,1.442091847999531,-0.27666833512302424,-0.2065215403995232,-0.14792041898214803,-0.14792041898214814,-0.17072050513035908,0.5531022917831191,0.6301587301587301,0.7698412698412699,0.7632275132275133,0.7214285714285714,0.5531022917831191,0.6301587301587301,0.7698412698412699,0.7632275132275133,0.7214285714285714,1599,932,58,179,351,382,306,46,109,170,0.15176076020122975,0.17976190476190476,0.30158730158730157,0.2275132275132275,0.20634920634920634,0.543,0.453,0.076,0.17200000000000001,0.26,-0.04218123945572172,0.08800104542209164,-0.11521771035775785,0.008307321330278672,-0.10485202258065529,0.044108356599443455,-0.08546058135029111,0.023928272649756832,0.060105637955365276,0.023928272649757054,score_min_scan,pending_review
score_min_0p9,0.9,0.1640865992973657,0.1933420770520553,0.2487859830773178,0.47823030769966945,0.3651822362778514,0.20909339186552234,0.20937307907746128,0.29323548541123484,0.2712260271824262,0.2397518972717582,0.8305312320481404,0.947779680893266,0.9041569437022631,1.5742773554327565,1.4162673700404296,-0.27352751156732735,-0.24142199988919966,-0.2081116251272993,-0.20811162512729908,-0.20811162512729875,0.5139742873113471,0.5837301587301588,0.7380952380952381,0.7248677248677249,0.680952380952381,0.5139742873113471,0.5837301587301588,0.7380952380952381,0.7248677248677249,0.680952380952381,1739,1049,66,208,402,378,304,50,112,168,0.14449413079932924,0.17103174603174603,0.30952380952380953,0.2222222222222222,0.19523809523809524,0.517,0.43100000000000005,0.078,0.168,0.246,-0.06636504183587211,0.09114186897778853,-0.14835795049326994,-0.02659313815939779,-0.1187857850419507,0.006717236602503784,-0.13226486763901324,-0.03626293349539411,-0.08481061933793832,-0.03626293349539422,score_min_scan,pending_review
score_min_1,1,0.15006069895701413,0.18260668180690942,0.33632156850316974,0.4824649501010507,0.3672221888024083,0.20569838167230386,0.2071069064545738,0.2892472153101796,0.26893426455715025,0.23786223667656703,0.781859915689152,0.9122061789382172,1.147019109837036,1.5960169296207953,1.4318895353226195,-0.2760434336051897,-0.2298530339052256,-0.19635233204807034,-0.1963523320480698,-0.19635233204807012,0.4821129122414757,0.5488095238095239,0.7182539682539683,0.6984126984126984,0.653968253968254,0.4821129122414757,0.5488095238095239,0.7182539682539683,0.6984126984126984,0.653968253968254,1853,1137,71,228,436,376,304,51,112,170,0.14114030184460594,0.16785714285714284,0.30952380952380953,0.21957671957671956,0.19365079365079366,0.505,0.42300000000000004,0.078,0.166,0.244,-0.08039094217622367,0.0886259469399262,-0.15909334573841583,-0.015024172175423733,-0.11674583251739379,0.018476529681732412,-0.12803022523763197,-0.024503640416164818,0.002724966087913616,-0.024503640416165262,score_min_scan,pending_review
