start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,score_min,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.26887919630600443,0.25460504438911274,1.0622269991800415,-0.3979226332491812,0.9821129122414757,0.9821129122414757,64,349,0.19256567915036332,689.0,0.689,score_min_-inf,full,-inf,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3453316315428874,0.24231764211886048,1.344651479265608,-0.21482886172980264,1.0,1.0,0,286,0.22698412698412698,572.0,0.5720000000000001,score_min_-inf,last_10y,-inf,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.49146386624645033,0.26839790822800824,1.62217662713134,-0.21482886172980264,1.0,1.0,0,155,0.24603174603174602,310.0,0.31000000000000005,score_min_-inf,last_5y,-inf,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6083141897867106,0.29149854821173,1.7742172088624086,-0.17184869163190497,1.0,1.0,0,101,0.2671957671957672,202.0,0.202,score_min_-inf,last_3y,-inf,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.38262812318433603,0.31939981087959024,1.1742666235037937,-0.17184869163190486,1.0,1.0,0,45,0.35714285714285715,90.0,0.09000000000000001,score_min_-inf,last_1y,-inf,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.23839013651145313,0.24723477059232915,0.9879711574240342,-0.3620614652477663,0.9298490776970374,0.9298490776970374,251,378,0.1970374510899944,705.0,0.705,score_min_-0p2,full,-0.2,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3379765831756538,0.24164169269808428,1.3250371006213801,-0.2148288617298021,0.9920634920634921,0.9920634920634921,20,292,0.22777777777777777,574.0,0.5740000000000001,score_min_-0p2,last_10y,-0.2,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.47830700811072524,0.2672766932806071,1.5946803118392594,-0.21482886172980276,0.9912698412698413,0.9912698412698413,11,159,0.24603174603174602,310.0,0.31,score_min_-0p2,last_5y,-0.2,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5871068345519823,0.28977491697051594,1.7371877030854268,-0.17184869163190486,0.9867724867724867,0.9867724867724867,10,104,0.2671957671957672,202.0,0.202,score_min_-0p2,last_3y,-0.2,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.33429684390235836,0.31521413640130996,1.0727375030782214,-0.17184869163190508,0.9841269841269841,0.9841269841269841,4,46,0.35714285714285715,90.0,0.09,score_min_-0p2,last_1y,-0.2,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2439224022914308,0.24495024258518985,1.0130656395771847,-0.3589455437850184,0.9116825041922862,0.9116825041922862,316,377,0.19480156512017888,697.0,0.697,score_min_-0p1,full,-0.1,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34769699044861,0.24132117025169827,1.356506823360871,-0.21482886172980264,0.984920634920635,0.984920634920635,38,291,0.2253968253968254,568.0,0.5680000000000001,score_min_-0p1,last_10y,-0.1,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4900903981377531,0.2668873834894623,1.626411253321116,-0.21482886172980276,0.9801587301587301,0.9801587301587301,25,159,0.24444444444444444,308.0,0.308,score_min_-0p1,last_5y,-0.1,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5973844369960091,0.28930632816268326,1.761884001625296,-0.1718486916319042,0.9761904761904762,0.9761904761904762,18,105,0.2671957671957672,202.0,0.202,score_min_-0p1,last_3y,-0.1,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3629732615336363,0.3143026098481403,1.1426722697602,-0.17184869163190475,0.9801587301587301,0.9801587301587301,5,46,0.35714285714285715,90.0,0.09,score_min_-0p1,last_1y,-0.1,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.24434384650195295,0.24460406460367248,1.0155398397177882,-0.3619298047301698,0.9044158747903857,0.9044158747903857,342,372,0.19200670765790945,687.0,0.6869999999999999,score_min_-0p05,full,-0.05,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3481903666255799,0.24111221134959596,1.3589925642588319,-0.2148288617298032,0.9809523809523809,0.9809523809523809,48,288,0.22301587301587303,562.0,0.562,score_min_-0p05,last_10y,-0.05,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4959787256422048,0.26654619294228105,1.6429714981625752,-0.21482886172980298,0.9753968253968254,0.9753968253968254,31,156,0.24126984126984127,304.0,0.304,score_min_-0p05,last_5y,-0.05,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6079188168312399,0.2887748021721656,1.787400114997202,-0.17184869163190508,0.9682539682539683,0.9682539682539683,24,102,0.2619047619047619,198.0,0.198,score_min_-0p05,last_3y,-0.05,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152599,0.3138489225670584,1.0743488348190104,-0.17184869163190464,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,score_min_-0p05,last_1y,-0.05,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,378,384,0.19312465064281722,691.0,0.691,score_min_0,full,0,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,63,293,0.22301587301587303,562.0,0.562,score_min_0,last_10y,0,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,37,158,0.24285714285714285,306.0,0.306,score_min_0,last_5y,0,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,27,102,0.2619047619047619,198.0,0.198,score_min_0,last_3y,0,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,score_min_0,last_1y,0,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.22562392081420368,0.24280087081582585,0.9587917294168243,-0.35455734490201474,0.8795416433761878,0.8795416433761878,431,391,0.19256567915036332,689.0,0.689,score_min_0p05,full,0.05,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3356699528892846,0.2403704875106437,1.3235806955587142,-0.22361125982005137,0.9674603174603175,0.9674603174603175,82,298,0.22301587301587303,562.0,0.562,score_min_0p05,last_10y,0.05,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4581788845854704,0.26575867868671743,1.5506000861945997,-0.2236112598200516,0.9634920634920635,0.9634920634920635,46,165,0.24603174603174602,310.0,0.31,score_min_0p05,last_5y,0.05,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5909341243585438,0.288682664836814,1.7510195070346186,-0.17240602621298107,0.9576719576719577,0.9576719576719577,32,105,0.26455026455026454,200.0,0.2,score_min_0p05,last_3y,0.05,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3291398748970116,0.3138649379097308,1.0636304801151966,-0.17184869163190486,0.9682539682539683,0.9682539682539683,8,46,0.3492063492063492,88.0,0.08800000000000001,score_min_0p05,last_1y,0.05,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.22323379472715765,0.24082527875156548,0.9565540988999722,-0.34971105755456944,0.8633314700950252,0.8633314700950252,489,398,0.19256567915036332,689.0,0.6890000000000001,score_min_0p1,full,0.1,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3362831491521372,0.23857021095449524,1.33366711668665,-0.2236112598200516,0.955952380952381,0.955952380952381,111,303,0.22301587301587303,562.0,0.562,score_min_0p1,last_10y,0.1,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4705431851498276,0.26498733634314187,1.586250177979718,-0.2236112598200518,0.9547619047619048,0.9547619047619048,57,162,0.24126984126984127,304.0,0.304,score_min_0p1,last_5y,0.1,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6009706035502307,0.28798352420942097,1.7764463128638492,-0.1718486916319053,0.9523809523809523,0.9523809523809523,36,104,0.2619047619047619,198.0,0.198,score_min_0p1,last_3y,0.1,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3032591879960185,0.3133062786411947,1.002132251937473,-0.1718486916319053,0.9642857142857143,0.9642857142857143,9,47,0.3492063492063492,88.0,0.08800000000000001,score_min_0p1,last_1y,0.1,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2323461758855252,0.23797505627216284,0.9963662914035262,-0.3408653103093181,0.8261598658468418,0.8261598658468418,622,396,0.1864169927333706,667.0,0.667,score_min_0p2,full,0.2,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.32658136778218516,0.2368968924620449,1.310630982459957,-0.22075513937794278,0.9257936507936508,0.9257936507936508,187,307,0.21825396825396826,550.0,0.55,score_min_0p2,last_10y,0.2,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.46913717054450577,0.2646119910600641,1.584503419605773,-0.22075513937794278,0.9396825396825397,0.9396825396825397,76,164,0.24126984126984127,304.0,0.304,score_min_0p2,last_5y,0.2,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5945378916678266,0.28773325410012174,1.763720808704638,-0.1718486916319043,0.9417989417989417,0.9417989417989417,44,104,0.2619047619047619,198.0,0.198,score_min_0p2,last_3y,0.2,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.29862236507245665,0.31265562678657577,0.9921540535471701,-0.17184869163190508,0.9444444444444444,0.9444444444444444,14,47,0.3492063492063492,88.0,0.08800000000000001,score_min_0p2,last_1y,0.2,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.26432138780255254,0.22458740748758008,1.1561323457415855,-0.27402299660125273,0.698993851313583,0.698993851313583,1077,391,0.1679709334823924,601.0,0.601,score_min_0p5,full,0.5,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.33271988245815676,0.2259494454374745,1.3834145298374418,-0.21416088101375685,0.794047619047619,0.794047619047619,519,312,0.19960317460317462,503.0,0.503,score_min_0p5,last_10y,0.5,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.6741164121744851,-0.19719185006594409,0.8428571428571429,0.8428571428571429,198,159,0.21428571428571427,270.0,0.27,score_min_0p5,last_5y,0.5,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6082243105222349,0.28160590333884095,1.8262839307063023,-0.16179995365228428,0.8756613756613757,0.8756613756613757,94,105,0.24074074074074073,182.0,0.18200000000000002,score_min_0p5,last_3y,0.5,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3844914818306906,0.3002254888767605,1.2340056410274545,-0.15868919725725517,0.8373015873015873,0.8373015873015873,41,45,0.30952380952380953,78.0,0.078,score_min_0p5,last_1y,0.5,25,off,1.0,1.0,off,off
