check,metric,abs_diff
off_vs_accepted_floor_0p5,return,9.952975943416931e-17
off_vs_accepted_floor_0p5,nav,3.552713678800501e-15
off_vs_accepted_floor_0p5,turnover,0.0
off_vs_accepted_floor_0p5,fraction_before,0.0
off_vs_accepted_floor_0p5,position,0.0
zero_vs_off,return,0.0
zero_vs_off,nav,0.0
zero_vs_off,turnover,0.0
zero_vs_off,fraction_before,0.0
zero_vs_off,position,0.0
cached_vs_uncached_at_0p20,return,0.0
cached_vs_uncached_at_0p20,nav,0.0
cached_vs_uncached_at_0p20,turnover,0.0
cached_vs_uncached_at_0p20,fraction_before,0.0
cached_vs_uncached_at_0p20,position,0.0
runner_vs_poe_at_0p20,return,0.0
runner_vs_poe_at_0p20,nav,0.0
runner_vs_poe_at_0p20,turnover,0.0
runner_vs_poe_at_0p20,fraction_before,0.0
runner_vs_poe_at_0p20,position,0.0
