candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,score_min,score_max
r2_off,full,off,1.0,2011-12-09,2026-09-02,3578,0.26432138780255254,0.22458740748758008,1.1561323457415855,-0.27402299660125273,0.698993851313583,1.0,2501,0.698993851313583,0.1679709334823924,601.0,0.601,391,0.5,5.0
r2_off,last_10y,off,1.0,2016-04-21,2026-09-02,2520,0.33271988245815676,0.2259494454374745,1.3834145298374418,-0.21416088101375685,0.794047619047619,1.0,2001,0.794047619047619,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_off,last_5y,off,1.0,2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.6741164121744851,-0.19719185006594409,0.8428571428571429,1.0,1062,0.8428571428571429,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_off,last_3y,off,1.0,2023-07-24,2026-09-02,756,0.6082243105222349,0.28160590333884095,1.8262839307063023,-0.16179995365228428,0.8756613756613757,1.0,662,0.8756613756613757,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_off,last_1y,off,1.0,2025-08-20,2026-09-02,252,0.3844914818306906,0.3002254888767605,1.2340056410274545,-0.15868919725725517,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.000,full,0.0,1.0,2011-12-09,2026-09-02,3578,0.26432138780255254,0.22458740748758008,1.1561323457415855,-0.27402299660125273,0.698993851313583,1.0,2501,0.698993851313583,0.1679709334823924,601.0,0.601,391,0.5,5.0
r2_0.000,last_10y,0.0,1.0,2016-04-21,2026-09-02,2520,0.33271988245815676,0.2259494454374745,1.3834145298374418,-0.21416088101375685,0.794047619047619,1.0,2001,0.794047619047619,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.000,last_5y,0.0,1.0,2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.6741164121744851,-0.19719185006594409,0.8428571428571429,1.0,1062,0.8428571428571429,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.000,last_3y,0.0,1.0,2023-07-24,2026-09-02,756,0.6082243105222349,0.28160590333884095,1.8262839307063023,-0.16179995365228428,0.8756613756613757,1.0,662,0.8756613756613757,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.000,last_1y,0.0,1.0,2025-08-20,2026-09-02,252,0.3844914818306906,0.3002254888767605,1.2340056410274545,-0.15868919725725517,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
